Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee
1,Fri,8/24/18,20:30 (14:30),Bayern Munich,2.8,3–1,0.7,Hoffenheim,75000,Allianz Arena,Bastian Dankert
1,Sat,8/25/18,15:30 (09:30),Werder Bremen,1.7,1–1,1.1,Hannover 96,42100,Weserstadion,Felix Brych
1,Sat,8/25/18,15:30 (09:30),Freiburg,2.1,0–2,1,Eint Frankfurt,24000,Schwarzwald-Stadion,Manuel Gräfe
1,Sat,8/25/18,15:30 (09:30),Wolfsburg,1.1,2–1,1.4,Schalke 04,26621,Volkswagen Arena,Patrick Ittrich
1,Sat,8/25/18,15:30 (09:30),Hertha BSC,1.3,1–0,1.3,Nürnberg,52729,Olympiastadion Berlin,Tobias Welz
1,Sat,8/25/18,15:30 (09:30),Düsseldorf,1.1,1–2,1.3,Augsburg,40996,Merkur Spielarena,Markus Schmidt
1,Sat,8/25/18,18:30 (12:30),M'gladbach,4,2–0,1.2,Bayer,53087,Stadion im Borussia-Park,Christian Dingert
1,Sun,8/26/18,15:30 (09:30),Mainz 05,1.2,1–0,1,Stuttgart,28705,Opel Arena,Daniel Siebert
1,Sun,8/26/18,18:00 (12:00),Dortmund,1,4–1,1.5,RB Leipzig,80365,Signal Iduna Park,Deniz Aytekin
,,,,,,,,,,,
2,Fri,8/31/18,20:30 (14:30),Hannover 96,0.9,0–0,0.6,Dortmund,49000,HDI-Arena,Felix Zwayer
2,Sat,9/1/18,15:30 (09:30),Augsburg,1.1,1–1,1.2,M'gladbach,29580,WWK Arena,Frank Willenborg
2,Sat,9/1/18,15:30 (09:30),Hoffenheim,3.5,3–1,2.9,Freiburg,28619,PreZero Arena,Robert Hartmann
2,Sat,9/1/18,15:30 (09:30),Bayer,1.4,1–3,1.1,Wolfsburg,26247,BayArena,Sven Jablonski
2,Sat,9/1/18,15:30 (09:30),Eint Frankfurt,1.1,1–2,1.8,Werder Bremen,50000,Commerzbank-Arena,Sören Storks
2,Sat,9/1/18,15:30 (09:30),Nürnberg,1,1–1,0.3,Mainz 05,37781,Max-Morlock-Stadion,Guido Winkmann
2,Sat,9/1/18,18:30 (12:30),Stuttgart,0.2,0–3,1.7,Bayern Munich,58680,Mercedes-Benz Arena,Harm Osmers
2,Sun,9/2/18,15:30 (09:30),RB Leipzig,1.7,1–1,1.1,Düsseldorf,34975,Red Bull Arena,Marco Fritz
2,Sun,9/2/18,18:00 (12:00),Schalke 04,1.8,0–2,0.5,Hertha BSC,60181,Veltins-Arena,Sascha Stegemann
,,,,,,,,,,,
3,Fri,9/14/18,20:30 (14:30),Dortmund,1,3–1,0.3,Eint Frankfurt,81000,Signal Iduna Park,Benjamin Cortus
3,Sat,9/15/18,15:30 (09:30),RB Leipzig,2.2,3–2,1.2,Hannover 96,38937,Red Bull Arena,Robert Kampka
3,Sat,9/15/18,15:30 (09:30),Bayern Munich,1.2,3–1,0.8,Bayer,75000,Allianz Arena,Tobias Welz
3,Sat,9/15/18,15:30 (09:30),Düsseldorf,1.5,2–1,2.1,Hoffenheim,40111,Merkur Spielarena,Tobias Stieler
3,Sat,9/15/18,15:30 (09:30),Mainz 05,2.7,2–1,0.8,Augsburg,21105,Opel Arena,Martin Petersen
3,Sat,9/15/18,15:30 (09:30),Wolfsburg,1.8,2–2,0.8,Hertha BSC,25090,Volkswagen Arena,Christian Dingert
3,Sat,9/15/18,18:30 (12:30),M'gladbach,1.3,2–1,1.6,Schalke 04,54022,Stadion im Borussia-Park,Manuel Gräfe
3,Sun,9/16/18,15:30 (09:30),Werder Bremen,0.8,1–1,1.1,Nürnberg,42100,Weserstadion,Daniel Schlager
3,Sun,9/16/18,18:00 (12:00),Freiburg,1,3–3,1,Stuttgart,24000,Schwarzwald-Stadion,Deniz Aytekin
,,,,,,,,,,,
4,Fri,9/21/18,20:30 (14:30),Stuttgart,1.4,0–0,1.1,Düsseldorf,54410,Mercedes-Benz Arena,Robert Hartmann
4,Sat,9/22/18,15:30 (09:30),Hertha BSC,2.8,4–2,2.2,M'gladbach,51852,Olympiastadion Berlin,Markus Schmidt
4,Sat,9/22/18,15:30 (09:30),Hoffenheim,2.1,1–1,1.3,Dortmund,30150,PreZero Arena,Harm Osmers
4,Sat,9/22/18,15:30 (09:30),Wolfsburg,0.8,1–3,1.9,Freiburg,23011,Volkswagen Arena,Sascha Stegemann
4,Sat,9/22/18,15:30 (09:30),Augsburg,2.2,2–3,1.4,Werder Bremen,28434,WWK Arena,Felix Zwayer
4,Sat,9/22/18,15:30 (09:30),Nürnberg,1.1,2–0,0.6,Hannover 96,36736,Max-Morlock-Stadion,Bastian Dankert
4,Sat,9/22/18,18:30 (12:30),Schalke 04,0.4,0–2,2.5,Bayern Munich,62271,Veltins-Arena,Daniel Siebert
4,Sun,9/23/18,15:30 (09:30),Bayer,1.3,1–0,0.8,Mainz 05,27473,BayArena,Marco Fritz
4,Sun,9/23/18,18:00 (12:00),Eint Frankfurt,1.7,1–1,1.4,RB Leipzig,43800,Commerzbank-Arena,Felix Brych
,,,,,,,,,,,
5,Tue,9/25/18,18:30 (12:30),Werder Bremen,2.6,3–1,1,Hertha BSC,39100,Weserstadion,Guido Winkmann
5,Tue,9/25/18,20:30 (14:30),Freiburg,1.3,1–0,0.8,Schalke 04,24000,Schwarzwald-Stadion,Frank Willenborg
