,Home,xG,xG.1,Away,home_goals,away_goals,ppda_coef_x,deep_x,CR_x,P_x,DR_x,IBS_x,OBS_x,TBOX_x,FKCR_x,CRN_x,CRNCR_x,FKS_x,TOFF_x,BCS_x,oppda_coef_x,deep_allowed_x,INT_x,BLK_x,TKL_x,FC_x,AW_x,BR_x,DW_x,AKS_x,CL_x,PUNCH_x,LMT_x,poss_x,ppda_coef_y,deep_y,CR_y,P_y,DR_y,IBS_y,OBS_y,TBOX_y,FKCR_y,CRN_y,CRNCR_y,FKS_y,TOFF_y,BCS_y,oppda_coef_y,deep_allowed_y,INT_y,BLK_y,TKL_y,FC_y,AW_y,BR_y,DW_y,AKS_y,CL_y,PUNCH_y,LMT_y,poss_y,xG_diff,ppda_diff,deep_diff,CR_diff,P_diff,DR_diff,IBS_diff,OBS_diff,TBOX_diff,FKCR_diff,CRN_diff,CRNCR_diff,FKS_diff,TOFF_diff,BCS_diff,oppda_diff,deep_allowed_diff,INT_diff,BLK_diff,TKL_diff,FC_diff,AW_diff,BR_diff,DW_diff,AKS_diff,CL_diff,PUNCH_diff,LMT_diff,poss_diff,score
0,Manchester United,1.6,1.1,Leicester,2,1,-0.4092015280540677,0.9639279360987828,-0.5391091204792462,0.6501277632432796,-0.15264032040626202,0.1961459673794847,0.6181011943240275,0.7574797581002409,-1.094332671756805,0.26124045013009256,0.3815984707672152,0.9301743101926488,0.9277085495157492,0.4987137300663792,0.5266478842251741,0.7041740889844922,-1.2462829152115555,0.35184809327413585,-1.0299405120695937,-0.5880219236514712,0.022864503122257858,-0.6503022597758185,-0.7607925650906899,-0.8693580044196089,-0.04374150490666925,-0.30551368676152585,-0.08127802371360465,0.6698671543034492,0.18493574187475564,-0.2895148559021839,0.776876903455596,0.02093207428662364,0.8007234064823084,0.008263310145716478,0.7032989265146361,0.2480266187330793,-0.30886102850712377,0.548594596384373,0.87752551886297,-0.15095965738802794,-0.12135529085825796,-0.3029279582500108,-0.1874724545780692,0.4266096087289293,0.3709171115067919,-0.8624013596408534,0.5284591241795202,-1.7624152313599422,0.9154213827511566,0.2948999016083172,1.0876222058201483,-0.5193035185312539,1.1920464404791578,0.1716605027491325,1.086042558242136,0.16286235725573592,0.5,-0.5941372699288233,1.2534427920009668,-1.3159860239348422,0.6291956889566559,-0.9533637268885704,0.1878826572337682,-0.08519773219060855,0.5094531393671616,-0.7854716432496811,-0.28735414625428046,-0.49592704809575483,1.0811339675806768,1.0490638403740071,0.8016416883163899,0.7141203388032432,0.2775644802555629,-1.6172000267183475,1.2142494529149892,-1.558399636249114,1.174393307708471,-0.8925568796288987,-0.9452021613841357,-1.8484147709108383,-0.35005448588835497,-1.235787945385827,-0.4771741895106584,-1.1673205819557406,0.5070047970477133,1
1,Newcastle United,0.3,1.4,Leicester,0,2,0.8535604004286419,-0.6028755539024255,0.1422169770189339,-1.089636220076631,-1.4286810010109632,-0.5212241784221754,-0.43267083602681705,-0.6638945007341399,-0.7015968501319642,-0.2847324277530413,-0.07890521675027276,-0.5563848952307818,-0.8790125089061521,-0.8373557504609374,-0.4137530307130029,1.3888331402815488,1.751453719680992,0.5795198656956965,1.1750291860275548,-0.7312406197134801,0.8121503388271519,0.33160678166207114,-0.20066687693588955,0.7058871820779878,2.527002554321872,0.1716605027491325,0.5023822672642657,-1.4392728014150442,0.18493574187475564,-0.2895148559021839,0.776876903455596,0.02093207428662364,0.8007234064823084,0.008263310145716478,0.7032989265146361,0.2480266187330793,-0.30886102850712377,0.548594596384373,0.87752551886297,-0.15095965738802794,-0.12135529085825796,-0.3029279582500108,-0.1874724545780692,0.4266096087289293,0.3709171115067919,-0.8624013596408534,0.5284591241795202,-1.7624152313599422,0.9154213827511566,0.2948999016083172,1.0876222058201483,-0.5193035185312539,1.1920464404791578,0.1716605027491325,1.086042558242136,0.16286235725573592,-1.0999999999999999,0.6686246585538862,-0.31336069800024163,-0.6346599264366621,-1.1105682943632547,-2.2294044074932717,-0.5294874885678919,-1.135969762541453,-0.9119211194672192,-0.3927358216248404,-0.8333270241374143,-0.9564307356132428,-0.40542523784275386,-0.7576572180478942,-0.5344277922109266,-0.22628057613493371,0.9622235315526195,1.3805366081742,1.4419212253365499,0.6465700618480346,1.031174611646462,-0.10327104392400466,0.03670688005375394,-1.2882890827560378,1.2251907006092417,1.3349561138427142,0.0,-0.5836602909778703,-1.6021351586707802,-2
2,Huddersfield,1.7,3.0,Leicester,1,4,0.1972487163499539,-1.1251433839028282,0.6835445613325574,-0.4394479038702621,-1.48734953805026,-1.153193116390304,-0.6598647885351074,-0.9695663843544372,0.8693464363673973,-0.8307053056361753,-0.3977154619546862,-0.6915266411783663,-0.6458872110452614,-1.81714003618097,-0.30066517927814723,0.8522084784541264,2.224780556769288,0.4277386840813229,1.0258207102164698,-0.7742062285320829,1.225234514523171,0.616085102078654,0.3874650956266497,-0.34427627558707663,-1.004909906873423,1.1260088817704492,-0.6649383146914749,-0.5875047423748821,0.18493574187475564,-0.2895148559021839,0.776876903455596,0.02093207428662364,0.8007234064823084,0.008263310145716478,0.7032989265146361,0.2480266187330793,-0.30886102850712377,0.548594596384373,0.87752551886297,-0.15095965738802794,-0.12135529085825796,-0.3029279582500108,-0.1874724545780692,0.4266096087289293,0.3709171115067919,-0.8624013596408534,0.5284591241795202,-1.7624152313599422,0.9154213827511566,0.2948999016083172,1.0876222058201483,-0.5193035185312539,1.1920464404791578,0.1716605027491325,1.086042558242136,0.16286235725573592,-1.3,0.012312974475198246,-0.8356285280006444,-0.09333234212303865,-0.46037997815688575,-2.2880729445325683,-1.1614564265360205,-1.3631637150497435,-1.2175930030875164,1.178207464874521,-1.3792999020205483,-1.2752409808176561,-0.5405669837903383,-0.5245319201870035,-1.5142120779309591,-0.11319272470007805,0.4255988697251971,1.853863445262496,1.2901400437221762,0.4973615860369496,0.9882090028278593,0.3098131317720143,0.3211852004703368,-0.7001571101934987,0.17502724294417726,-2.1969563473525806,0.9543483790213168,-1.750980872933611,-0.7503670996306181,-3
3,Fulham,1.7,1.8,Leicester,1,1,1.4921855940993711,-0.6841172163469326,-0.7911064442114509,0.18828996374960816,0.33137511016793497,-0.8969894928897113,0.4193064858792733,-0.8676757564810049,-2.4296344652812625,-0.8594407202616041,-1.1061826735200504,-1.3672353709162892,0.9277085495157492,-0.7482844517591163,-0.056666497255796026,1.9439621007926748,0.31175125687075445,0.9589728197316304,-0.7812597190511179,-0.7312406197134801,0.4138191694059904,0.5243179019442716,-0.4317187232997453,1.0559416679663427,1.3827544567424033,2.3984733871322046,-1.2485986056693454,-0.16162071285480092,0.18493574187475564,-0.2895148559021839,0.776876903455596,0.02093207428662364,0.8007234064823084,0.008263310145716478,0.7032989265146361,0.2480266187330793,-0.30886102850712377,0.548594596384373,0.87752551886297,-0.15095965738802794,-0.12135529085825796,-0.3029279582500108,-0.1874724545780692,0.4266096087289293,0.3709171115067919,-0.8624013596408534,0.5284591241795202,-1.7624152313599422,0.9154213827511566,0.2948999016083172,1.0876222058201483,-0.5193035185312539,1.1920464404791578,0.1716605027491325,1.086042558242136,0.16286235725573592,-0.10000000000000009,1.3072498522246154,-0.39460236044474867,-1.567983347667047,0.16735788946298452,-0.46934829631437347,-0.9052528030354278,-0.2839924406353628,-1.1157023752140842,-2.120773436774139,-1.4080353166459771,-1.9837081923830204,-1.2162757135282614,1.0490638403740071,-0.4453564935091055,0.13080595732227315,1.5173524920637456,-0.05916585463603746,1.8213741793724838,-1.3097188432306381,1.031174611646462,-0.5016022133451662,0.22941800033595444,-1.5193409291198936,1.5752451864975967,0.19070801626324552,2.226812884383072,-2.3346411639114812,-0.32448307011053684,0
4,Watford,0.8,1.0,Leicester,2,1,0.08361242715650137,0.5229017685428872,-1.1737690469159083,-0.5237099771364685,-0.621988616720635,-0.2650205549215822,-1.1142526935516892,0.4874695942356452,1.497723750967142,-0.3996740862547541,-0.6456789860025637,0.25446558045472595,0.8694272250505269,-0.3919992569518318,-0.4582373073952057,0.6301568942496758,0.1934195475986808,0.04828573004538887,0.2631996116264788,-0.5880219236514712,0.5834787415668551,0.4141972617830149,-0.08164016820299501,3.5063230691848264,1.275957967634986,-0.6236298131019646,2.8370234311757474,-0.5266641667291573,0.18493574187475564,-0.2895148559021839,0.776876903455596,0.02093207428662364,0.8007234064823084,0.008263310145716478,0.7032989265146361,0.2480266187330793,-0.30886102850712377,0.548594596384373,0.87752551886297,-0.15095965738802794,-0.12135529085825796,-0.3029279582500108,-0.1874724545780692,0.4266096087289293,0.3709171115067919,-0.8624013596408534,0.5284591241795202,-1.7624152313599422,0.9154213827511566,0.2948999016083172,1.0876222058201483,-0.5193035185312539,1.1920464404791578,0.1716605027491325,1.086042558242136,0.16286235725573592,-0.19999999999999996,-0.10132331471825427,0.812416624445071,-1.9506459503715043,-0.5446420514230922,-1.4227120232029433,-0.2732838650672987,-1.8175516200663253,0.23944297550256588,1.8065847794742658,-0.9482686826391271,-1.5232045048655336,0.40542523784275386,0.9907825159087849,-0.08907129870182101,-0.27076485281713647,0.20354728552074652,-0.1774975639081111,0.9106870896862422,-0.2652595125530414,1.174393307708471,-0.3319426411843015,0.11929736017469772,-1.1692623740231434,4.02562658771608,0.08391152715582817,-0.7952903158510971,1.7509808729336114,-0.6895265239848932,1
5,Bournemouth,1.7,2.1,Leicester,4,2,1.7377137912159135,0.5809315274318211,-0.7817732099991469,-0.3228221969274161,-0.5926543482009863,-0.09421813925452067,-1.1426519376152255,0.4110516233305708,-0.3874081928320921,0.002621718501239113,-0.822795788893905,-0.5563848952307818,-0.9955751578365972,0.6768563274700216,-0.3636991681749121,1.5368675297511818,-0.9701755935767158,1.262535182960378,-2.0080849646089307,-1.919955797028152,0.1630180627334072,-0.9439573002058422,-0.97083969814874,0.35583269618963304,1.7946837718710114,-0.9417459394424036,1.6697028492200066,-0.4658235910834303,0.18493574187475564,-0.2895148559021839,0.776876903455596,0.02093207428662364,0.8007234064823084,0.008263310145716478,0.7032989265146361,0.2480266187330793,-0.30886102850712377,0.548594596384373,0.87752551886297,-0.15095965738802794,-0.12135529085825796,-0.3029279582500108,-0.1874724545780692,0.4266096087289293,0.3709171115067919,-0.8624013596408534,0.5284591241795202,-1.7624152313599422,0.9154213827511566,0.2948999016083172,1.0876222058201483,-0.5193035185312539,1.1920464404791578,0.1716605027491325,1.086042558242136,0.16286235725573592,-0.40000000000000013,1.5527780493411578,0.870446383334005,-1.558650113454743,-0.34375427121403973,-1.3933777546832946,-0.10248144940023715,-1.8459508641298616,0.16302500459749153,-0.07854716432496833,-0.5459728778831339,-1.700321307756875,-0.40542523784275386,-0.8742198669783393,0.9797842857200323,-0.17622671359684292,1.1102579210222525,-1.3410927050835078,2.1249365426012314,-2.536544088788451,-0.15754056566820984,-0.7524033200177493,-1.2388572018141595,-2.0584619039688885,0.875136214720887,0.6026373313918536,-1.1134064421915362,0.5836602909778705,-0.6286859483391662,2
6,Wolverhampton Wanderers,1.5,1.3,Leicester,4,3,1.2486325657815611,-0.5332398432357051,-0.6884408678761083,-0.1677100066934305,-0.03530324632766842,-0.02589717298769572,-0.3758723478997447,-0.3225608973581422,-0.5445025214820282,0.11756337700295187,-0.14975193790680882,-1.09695187902112,-0.06307396639303517,0.14242853525909469,0.008944017702552626,-0.18403224783330965,1.6331220104089172,1.1107540013460049,1.2413440641658169,-0.9317467942002919,0.937550892163443,1.6805846236374873,0.5765075153788943,-1.5694669761963185,0.26901964176505305,-0.9417459394424036,-0.08127802371360465,-0.5266641667291573,0.18493574187475564,-0.2895148559021839,0.776876903455596,0.02093207428662364,0.8007234064823084,0.008263310145716478,0.7032989265146361,0.2480266187330793,-0.30886102850712377,0.548594596384373,0.87752551886297,-0.15095965738802794,-0.12135529085825796,-0.3029279582500108,-0.1874724545780692,0.4266096087289293,0.3709171115067919,-0.8624013596408534,0.5284591241795202,-1.7624152313599422,0.9154213827511566,0.2948999016083172,1.0876222058201483,-0.5193035185312539,1.1920464404791578,0.1716605027491325,1.086042558242136,0.16286235725573592,0.19999999999999996,1.0636968239068054,-0.24372498733352116,-1.4653177713317043,-0.18864208098005414,-0.8360266528099769,-0.034160483133412196,-1.0791712744143809,-0.5705875160912215,-0.2356414929749044,-0.43103121938142114,-1.0272774567697789,-0.9459922216330919,0.058281324465222786,0.44535649350910544,0.1964164722806218,-0.6106418565622389,1.2622048989021253,1.9731553609868584,0.7128849399862967,0.8306684371596502,0.02212950941228642,1.3856847220291701,-0.511114690441254,-1.0501634576650645,-0.9230267987141048,-1.1134064421915362,-1.1673205819557406,-0.6895265239848932,1
7,Southampton,0.6,0.6,Leicester,1,2,-0.07410411233222641,-0.27790890412439684,-0.2777785625347386,-0.8721292766282223,-0.6806571537599313,-0.4187427290219383,0.4761049740063456,-0.33274996014548497,-0.2303138641821561,0.060092547752095014,0.87752551886297,-0.0158179114404435,-0.7624498599757065,-0.4810705556536529,-0.3311796522023012,1.2963116468630271,2.54033178149482,1.3004804783639714,0.9097696734745156,-0.7742062285320829,0.6056082509791425,0.19395598146049647,-0.01862602828558016,0.1808054532454558,2.1227015598437933,0.9669508186002294,1.086042558242136,-0.9322680043673296,0.18493574187475564,-0.2895148559021839,0.776876903455596,0.02093207428662364,0.8007234064823084,0.008263310145716478,0.7032989265146361,0.2480266187330793,-0.30886102850712377,0.548594596384373,0.87752551886297,-0.15095965738802794,-0.12135529085825796,-0.3029279582500108,-0.1874724545780692,0.4266096087289293,0.3709171115067919,-0.8624013596408534,0.5284591241795202,-1.7624152313599422,0.9154213827511566,0.2948999016083172,1.0876222058201483,-0.5193035185312539,1.1920464404791578,0.1716605027491325,1.086042558242136,0.16286235725573592,0.0,-0.25903985420698206,0.01160595177778706,-1.0546554659903347,-0.893061350914846,-1.4813805602422399,-0.4270060391676548,-0.2271939525082905,-0.5807765788785643,0.07854716432496767,-0.48850204863227803,0.0,0.13514174594758444,-0.6410945691174486,-0.17814259740364213,-0.14370719762423204,0.8697020381340979,2.1694146699880283,2.1628818380048247,0.3813105492949954,0.9882090028278593,-0.3098131317720141,-0.10094392014782072,-1.1062482341057285,0.7001089717767097,0.9306551193646355,0.7952903158510969,0.0,-1.0951303616230654,-1
8,Liverpool,0.5,0.8,Leicester,1,1,-0.4486572009822377,2.3334302458776177,0.2355493191419725,1.8653676295877384,0.3167079759081114,1.3917628770489183,0.10691480118037333,2.1533813599662643,-0.4659553571570604,1.6692757667760687,1.1254890429108475,-0.0158179114404435,0.1700513314678551,2.10199710669916,2.3958513288323378,-1.4423245583251962,-2.0548829285707297,-1.5454166769055344,-0.5491576455672086,-2.2780025371831734,-0.6483972823837727,0.8271496623877339,-1.3559261087551644,1.4059961538546977,-1.1498479992334891,0.4897766290895713,-0.08127802371360465,1.7852777078084234,0.18493574187475564,-0.2895148559021839,0.776876903455596,0.02093207428662364,0.8007234064823084,0.008263310145716478,0.7032989265146361,0.2480266187330793,-0.30886102850712377,0.548594596384373,0.87752551886297,-0.15095965738802794,-0.12135529085825796,-0.3029279582500108,-0.1874724545780692,0.4266096087289293,0.3709171115067919,-0.8624013596408534,0.5284591241795202,-1.7624152313599422,0.9154213827511566,0.2948999016083172,1.0876222058201483,-0.5193035185312539,1.1920464404791578,0.1716605027491325,1.086042558242136,0.16286235725573592,-0.30000000000000004,-0.6335929428569933,2.6229451017798016,-0.5413275843136235,1.8444355553011147,-0.48401543057419705,1.3834995669032017,-0.5963841253342628,1.905354741233185,-0.1570943286499366,1.1206811703916957,0.24796352404787747,0.13514174594758444,0.29140662232611303,2.404925064949171,2.583323783410407,-1.8689341670541255,-2.4258000400775215,-0.683015317264681,-1.077616769746729,-0.5155873058232312,-1.5638186651349293,0.5322497607794168,-2.4435483145753127,1.9252996723859517,-2.3418944397126467,0.31811612634043884,-1.1673205819557406,1.6224153505526875,0
9,Arsenal,2.9,0.7,Leicester,3,1,-0.7531227820542233,1.973645740766229,-0.8471058494852738,1.0976789136364524,-0.4313158713429205,0.2815471752130157,-1.085853449488153,1.1803258637749847,-1.7227099863565496,0.5198591817589451,-1.1061826735200504,-1.2320936249687051,0.8694272250505269,0.765927626171843,0.4083610779039094,0.4266096087289293,-0.12213167712685015,-0.0276048607617982,-0.5823150846363374,-0.8887811853816892,-0.9508339110183582,0.1021887813261142,-1.2158946867164642,0.8809144250221654,-0.1963079179172654,0.6488346922597905,-0.08127802371360465,1.2377125269968932,0.18493574187475564,-0.2895148559021839,0.776876903455596,0.02093207428662364,0.8007234064823084,0.008263310145716478,0.7032989265146361,0.2480266187330793,-0.30886102850712377,0.548594596384373,0.87752551886297,-0.15095965738802794,-0.12135529085825796,-0.3029279582500108,-0.1874724545780692,0.4266096087289293,0.3709171115067919,-0.8624013596408534,0.5284591241795202,-1.7624152313599422,0.9154213827511566,0.2948999016083172,1.0876222058201483,-0.5193035185312539,1.1920464404791578,0.1716605027491325,1.086042558242136,0.16286235725573592,2.2,-0.9380585239289789,2.263160596668413,-1.62398275294087,1.0767468393498287,-1.232039277825229,0.27328386506729924,-1.7891523760027892,0.9322992450419054,-1.4138489578494258,-0.028735414625427946,-1.9837081923830204,-1.0811339675806773,0.9907825159087849,1.0688555844218537,0.5958335324819786,0.0,-0.49304878863364204,0.8347964988790552,-1.1107742088158576,0.873634045978253,-1.8662552937695147,-0.192711120282203,-2.3035168925366127,1.4002179435534194,-1.388354358396423,0.47717418951065804,-1.1673205819557406,1.0748501697411572,2
