,Team,G,A,SA,AOP,ASP,S,SOG,INT,CR,ACR,CC,BCC,CCOP,CCSP,BLK,TKL,TKLW,FC,FS,P,AP,ACRO,AW,BR,DR,DW,IBS,IBSOG,IBG,OBS,OBSOG,OBG,DSP,OWN,TOUCH,TBOX,PK,PKG,PKM,PKSVD,FKCR,FKACR,CRN,CRNCR,CRNW,FKS,FKSOG,FKG,GC,CS,SV,IBSV,OBSV,AKS,PKC,PKF,PKSV,CL,ECL,PUNCH,ALB,ATB,LMT,TOFF,BCM,BCS,ATTDR
0,Manchester City,95,72,0,65,7,683,260,362,784,154,517,101,400,44,63,520,328,328,305,23654,26582,84,546,2222,434,1795,449,198,80,238,66,15,393,0,33592,1588,4,3,1,0,43,12,298,207,302,21,9,2,23,20,58,39,21,16,4,4,0,543,543,6,1098,35,0,98,70,53,731
1,Liverpool,89,55,0,41,14,575,226,314,721,173,426,78,322,45,78,611,376,315,354,19964,23637,99,606,2375,352,1901,381,182,84,197,47,5,427,0,30897,1239,7,7,0,0,45,10,249,189,250,20,6,1,22,21,76,51,24,18,1,1,0,638,638,17,1166,38,2,77,54,54,612
2,Arsenal,73,52,0,43,9,467,170,412,605,126,363,72,284,27,118,609,366,412,460,17331,20804,85,565,2296,301,1921,316,134,62,155,40,11,410,2,28126,1048,5,4,0,1,29,4,209,126,210,11,4,3,51,8,133,86,49,15,7,7,0,763,763,18,1045,25,2,89,50,39,535
3,Tottenham,67,47,0,38,9,537,189,326,643,166,393,64,299,46,112,630,374,376,368,17716,21298,112,610,2365,367,1960,327,137,53,211,53,14,350,3,28696,954,4,4,0,0,45,13,194,140,195,23,10,2,39,13,120,86,37,19,5,5,2,770,770,22,1106,25,3,74,52,35,670
4,Manchester United,65,40,0,35,5,526,225,355,638,128,382,64,308,33,128,582,347,433,409,15796,19203,74,697,2214,320,1986,311,153,55,215,72,10,425,3,26475,965,12,9,0,3,37,7,200,168,200,27,13,2,54,7,122,65,57,5,6,6,0,783,783,12,1176,28,2,90,61,36,549
5,Chelsea,63,52,0,43,9,607,198,353,692,133,493,80,389,41,73,619,365,339,429,21958,25073,80,532,2373,447,2013,379,140,54,230,60,9,457,0,32356,1102,5,5,0,0,37,6,215,179,215,30,8,0,39,16,85,48,40,8,2,2,1,592,592,11,1092,62,2,83,60,34,702
6,Bournemouth,56,42,0,32,10,446,163,369,612,168,334,76,240,47,152,523,296,340,450,12459,15944,105,716,2182,290,1956,294,127,50,153,37,6,356,3,23369,897,9,7,1,1,46,18,191,134,191,16,5,0,70,10,110,70,40,12,5,5,0,1024,1024,8,805,27,5,57,57,38,577
7,Everton,54,34,0,27,7,496,169,453,814,203,353,51,249,68,85,699,440,432,423,12756,16498,114,893,2434,327,2316,335,131,45,162,39,9,468,2,24494,918,5,2,1,2,81,23,215,197,215,20,6,2,46,14,94,56,37,15,5,5,3,824,824,13,1032,19,3,69,49,28,585
8,Watford,52,39,0,30,9,437,152,428,570,105,312,62,244,27,120,660,391,433,383,11770,15464,64,773,2330,288,2083,284,118,44,154,35,8,419,3,22879,912,1,1,0,0,70,9,177,139,178,22,4,0,59,7,127,86,41,30,5,5,1,956,956,10,1032,12,7,89,54,26,539
9,West Ham,52,33,0,24,9,441,157,457,630,152,325,47,240,51,141,723,393,331,393,12866,16357,76,643,2444,386,2129,278,117,47,164,41,5,389,1,24042,828,5,5,0,0,24,7,188,172,188,17,1,0,55,7,148,102,44,5,5,5,1,855,855,17,1103,30,4,71,33,30,666
10,Leicester,51,34,0,29,5,515,184,437,779,167,383,58,283,64,96,676,394,351,385,13638,17218,95,818,2317,385,2250,300,129,43,218,58,8,359,0,25040,865,7,5,0,2,47,13,210,182,210,19,6,3,48,10,90,62,29,7,5,5,0,945,945,15,1168,28,4,72,46,27,659
11,Crystal Palace,51,33,0,27,6,493,147,445,581,140,358,40,287,38,141,735,448,386,402,11706,15235,81,689,2301,373,2180,313,102,43,183,48,8,475,1,23208,962,11,10,0,1,45,9,205,182,205,16,6,1,53,12,113,75,37,7,5,5,1,939,939,25,917,12,2,78,39,25,664
12,Wolverhampton Wanderers,47,35,0,27,8,477,152,501,622,157,351,63,268,45,148,719,408,409,329,12991,16622,101,821,2468,328,2177,298,121,44,180,32,3,402,4,23966,753,4,4,0,0,44,17,195,153,195,12,3,2,46,9,100,63,39,1,4,4,0,824,824,8,1256,13,2,73,47,32,592
13,Burnley,45,31,0,21,10,360,115,367,692,167,256,49,174,49,222,585,311,360,358,9140,13009,95,1050,2236,207,2164,256,99,43,107,19,2,314,4,20297,651,2,2,0,0,51,17,140,129,140,14,2,0,68,8,140,98,48,19,3,3,1,1081,1081,11,1189,13,5,106,41,25,370
14,Southampton,45,27,0,24,3,484,162,547,666,162,341,48,256,54,153,699,428,420,346,10575,14296,88,776,2306,284,2092,275,94,31,210,69,14,378,3,22111,751,5,4,0,1,48,17,193,182,195,20,10,3,65,7,114,79,38,11,3,3,1,1067,1067,20,885,19,4,61,50,25,507
