Team,G,A,SA,AOP,ASP,S,SOG,INT,CR,ACR,CC,BCC,CCOP,CCSP,BLK,TKL,TKLW,FC,FS,P,AP,ACRO,AW,BR,DR,DW,IBS,IBSOG,IBG,OBS,OBSOG,OBG,DSP,OWN,TOUCH,TBOX,PK,PKG,PKM,PKSVD,FKCR,FKACR,CRN,CRNCR,CRNW,FKS,FKSOG,FKG,GC,CS,SV,IBSV,OBSV,AKS,PKC,PKF,PKSV,CL,ECL,PUNCH,ALB,ATB,LMT,TOFF,BCM,BCS,ATTDR
Bayern Munich,88,62,0,51,11,637,257,336,777,201,474,109,340,71,61,464,294,312,346,19414,22197,97,534,2177,425,1753,435,197,75,204,62,13,317,1,28537,1327,4,3,1,0,54,14,287,239,288,28,9,0,32,12,48,28,24,11,6,6,0,344,344,3,1292,31,1,88,80,52,681
Borussia Dortmund,81,60,0,55,5,448,184,385,458,114,340,79,234,42,79,497,319,292,389,17828,20721,57,475,2005,440,1783,301,133,70,148,52,11,381,0,27343,899,4,4,0,0,50,16,168,132,170,17,10,3,44,10,90,60,30,3,5,5,0,628,628,13,981,36,1,64,51,51,737
Bayer Leverkusen,75,55,0,49,6,535,206,364,642,157,394,71,305,34,99,598,377,370,400,18250,21543,104,574,2317,339,1885,342,143,66,195,65,9,405,3,28564,946,5,4,0,1,38,4,190,174,190,25,8,2,53,9,92,64,32,15,6,6,2,642,642,9,1197,23,0,66,44,44,574
1899 Hoffenheim,70,49,0,43,6,612,225,400,666,179,469,88,364,56,104,574,365,471,355,13450,16404,115,541,2112,352,1795,391,158,62,222,68,8,361,1,23289,1015,7,6,1,0,30,11,182,160,182,15,5,1,52,5,123,80,44,7,7,7,0,603,603,8,952,17,3,66,77,42,591
RB Leipzig,63,41,0,37,4,497,182,420,616,156,384,78,288,53,70,653,400,465,400,11421,15153,87,765,2234,315,2106,345,134,58,152,48,5,394,1,22306,881,7,5,1,1,55,8,190,160,191,18,9,2,29,16,95,72,23,17,6,6,0,668,668,6,864,29,3,87,63,38,554
VfL Wolfsburg,62,38,0,29,9,425,167,430,681,176,314,54,226,48,95,540,345,358,445,12164,15473,122,638,2081,252,1839,269,122,57,159,48,5,331,0,22202,692,5,5,0,0,46,13,175,134,175,15,5,0,50,9,110,59,51,5,6,6,1,739,739,17,1449,16,4,67,38,37,431
Eintracht Frankfurt,61,42,0,36,6,426,155,380,686,155,310,78,210,55,103,612,376,432,353,9861,13531,97,846,2398,301,2092,296,122,56,130,33,5,369,2,20551,769,4,4,0,0,59,16,183,133,183,11,4,1,54,9,127,85,46,13,1,1,0,669,669,14,1094,20,1,84,56,45,542
Werder Bremen,58,38,0,36,2,470,178,407,676,164,352,44,274,39,109,552,344,437,350,13366,16719,110,612,2066,210,1710,300,125,47,171,54,11,327,0,23387,757,4,4,0,0,55,12,168,157,168,11,3,2,49,5,108,71,39,5,5,5,0,773,773,14,1086,14,2,40,37,30,405
"M&ouml;nchengladbach",55,42,0,36,6,459,159,310,565,140,346,59,258,46,102,500,294,332,365,14845,17600,79,447,1937,279,1565,286,115,47,175,46,8,304,0,23707,761,7,4,1,2,39,7,189,160,190,16,4,0,42,13,115,87,27,3,3,3,0,588,588,4,1067,19,2,70,50,30,484
FC Augsburg,51,33,0,25,8,462,167,486,612,153,337,46,256,48,136,603,382,464,358,10476,13989,96,686,2162,212,1829,288,112,43,175,56,8,352,2,20748,632,5,5,0,0,42,13,146,129,147,19,6,3,71,6,124,79,51,7,2,2,1,732,732,7,1037,10,3,85,39,26,410
"Fortuna D&uuml;sseldorf",50,36,0,32,4,432,164,427,563,158,317,55,230,51,112,635,388,443,424,10732,13794,90,656,2019,238,1919,265,118,43,168,47,7,264,0,20303,625,7,5,2,0,42,17,148,132,150,17,4,1,66,5,117,66,54,4,8,8,0,751,751,25,1228,18,2,50,44,31,449
Hertha BSC Berlin,49,32,0,25,7,405,150,382,554,148,308,57,229,47,117,537,351,447,378,11517,14694,88,713,1991,302,1906,276,110,46,129,40,3,333,2,21320,660,4,4,0,0,39,9,146,133,149,15,4,2,57,9,107,77,33,8,6,6,1,764,764,7,1079,17,0,75,39,35,509
SC Freiburg,47,25,0,20,5,435,166,374,546,140,303,41,238,40,125,585,363,425,426,10823,13858,90,593,1913,242,1815,239,112,39,198,56,8,303,0,20366,573,7,6,0,1,47,16,155,134,156,19,6,3,62,5,118,67,50,9,7,7,0,861,861,15,1136,10,0,52,37,23,456
FSV Mainz 05,46,30,0,27,3,497,151,397,646,152,363,56,290,43,124,528,308,430,362,10533,13666,99,668,2098,317,1862,287,106,41,212,47,5,393,0,20539,691,3,3,0,0,48,14,150,142,151,18,4,0,57,7,119,69,50,7,4,4,0,676,676,11,1127,16,1,83,43,27,556
FC Schalke 04,37,22,0,17,5,432,135,430,540,161,321,49,220,76,120,656,395,458,412,10363,13519,61,622,2160,370,2039,269,98,30,163,37,7,386,1,20563,753,9,7,1,1,75,29,162,160,162,18,4,1,55,8,119,68,49,7,6,6,1,637,637,15,970,13,1,77,46,26,625
