Team,G,A,SA,AOP,ASP,S,SOG,INT,CR,ACR,CC,BCC,CCOP,CCSP,BLK,TKL,TKLW,FC,FS,P,AP,ACRO,AW,BR,DR,DW,IBS,IBSOG,IBG,OBS,OBSOG,OBG,DSP,OWN,TOUCH,TBOX,PK,PKG,PKM,PKSVD,FKCR,FKACR,CRN,CRNCR,CRNW,FKS,FKSOG,FKG,GC,CS,SV,IBSV,OBSV,AKS,PKC,PKF,PKSV,CL,ECL,PUNCH,ALB,ATB,LMT,TOFF,BCM,BCS,ATTDR
Barcelona,90,61,0,56,5,560,253,391,394,84,409,103,323,21,101,538,346,410,559,22340,25308,54,461,2271,442,1979,346,180,77,216,75,13,435,1,32062,1135,9,8,0,1,38,8,205,103,208,50,16,6,36,17,95,64,34,6,2,2,0,505,505,9,1303,61,1,102,79,50,749
Real Madrid,63,39,0,32,7,594,216,373,762,176,466,78,370,55,78,626,395,446,554,19536,22337,114,499,2221,453,2103,387,163,58,209,55,5,356,0,29685,1169,9,9,0,0,58,15,221,143,221,19,6,1,46,12,93,56,40,9,8,8,1,548,548,5,1535,26,2,112,62,40,749
Sevilla,62,46,0,42,4,530,178,365,812,188,393,82,312,32,114,600,408,536,468,13450,16892,135,679,2336,349,2062,347,142,58,185,38,4,391,0,24299,1007,6,5,0,1,41,10,223,163,223,11,1,0,47,11,110,64,46,9,7,7,1,765,765,11,1164,32,3,111,59,48,598
Levante,59,40,0,28,12,442,161,422,674,136,310,73,233,34,151,572,372,501,494,9857,13092,78,497,2276,394,1922,273,124,54,172,40,5,428,2,20519,753,7,5,0,2,52,14,202,174,204,32,14,1,66,7,162,100,63,13,9,9,1,795,795,18,1019,25,4,85,53,39,733
"Atl&eacute;tico Madrid",55,36,0,28,8,444,160,463,590,132,353,56,259,54,94,785,487,476,457,14111,17510,65,693,2311,358,2272,259,107,41,187,55,14,413,2,24647,831,4,3,0,1,48,14,217,179,219,21,8,3,29,20,110,72,38,5,5,5,0,776,776,10,1045,29,1,80,45,32,565
Celta Vigo,53,37,0,33,4,452,161,382,659,134,343,44,271,35,105,635,377,458,491,14067,17201,84,685,2164,376,2159,285,108,45,168,54,8,371,1,24343,720,7,7,0,0,55,17,163,131,163,22,7,2,62,8,107,69,40,15,7,7,0,810,810,13,1109,13,1,90,35,27,623
Valencia,51,38,0,30,8,477,166,417,715,182,370,71,278,53,120,599,384,463,521,12700,15951,111,618,2290,331,2040,306,126,47,172,41,4,337,2,23153,872,7,5,0,2,45,12,196,161,198,18,4,1,35,13,121,68,53,4,8,8,1,815,815,11,1150,28,1,75,56,35,578
Villarreal,49,34,0,24,10,494,175,390,618,135,370,63,288,42,142,669,413,518,418,12802,16016,82,644,2161,345,2039,325,127,44,171,50,5,340,3,23198,872,6,3,1,2,32,7,168,143,169,8,4,1,52,11,138,91,48,12,5,5,1,823,823,13,1198,27,1,95,54,27,601
Espanyol,48,24,0,21,3,475,160,409,544,115,332,51,276,32,134,657,394,531,514,12998,16245,74,618,2168,311,2069,274,104,38,206,61,10,374,2,23399,735,4,4,0,0,33,8,175,118,175,25,5,2,50,10,121,90,33,2,8,8,2,891,891,11,1161,33,0,84,45,29,518
Getafe,48,34,0,30,4,401,129,453,638,156,294,44,210,50,81,605,357,642,507,7149,11228,101,868,2370,298,2240,274,105,42,128,25,6,366,2,18759,739,6,6,0,0,60,20,158,106,159,13,5,0,35,13,102,75,26,18,7,7,2,855,855,30,1188,19,1,102,34,27,575
