Team,G,A,SA,AOP,ASP,S,SOG,INT,CR,ACR,CC,BCC,CCOP,CCSP,BLK,TKL,TKLW,FC,FS,P,AP,ACRO,AW,BR,DR,DW,IBS,IBSOG,IBG,OBS,OBSOG,OBG,DSP,OWN,TOUCH,TBOX,PK,PKG,PKM,PKSVD,FKCR,FKACR,CRN,CRNCR,CRNW,FKS,FKSOG,FKG,GC,CS,SV,IBSV,OBSV,AKS,PKC,PKF,PKSV,CL,ECL,PUNCH,ALB,ATB,LMT,TOFF,BCM,BCS,ATTDR
Paris Saint-Germain,105,71,0,65,6,561,230,342,589,132,423,105,310,40,93,702,432,474,456,20985,23602,72,417,2256,452,1998,398,190,96,165,42,9,454,4,30518,1207,12,10,0,2,35,8,238,165,239,29,8,3,35,17,101,58,44,4,6,6,1,486,486,6,878,76,2,92,69,75,744
Lyon,70,54,0,52,2,673,252,359,682,199,496,68,382,58,136,640,391,442,479,17918,20847,117,634,2259,457,2180,411,173,60,262,79,10,462,3,28504,1086,10,5,2,3,47,17,227,179,227,48,18,4,47,10,105,63,46,11,5,5,0,615,615,8,991,34,3,94,63,36,760
Lille,68,49,0,43,6,498,195,387,576,148,385,58,283,52,105,627,377,479,523,13490,16635,77,584,2290,360,2059,286,138,61,214,59,7,465,0,23939,725,13,11,1,1,61,20,164,149,164,26,4,0,33,15,94,57,36,12,10,10,2,680,680,6,911,32,1,39,46,42,628
Marseille,60,44,0,35,9,531,170,407,826,217,406,52,287,73,98,780,488,502,459,14824,18000,133,720,2188,350,2282,332,124,51,200,47,9,371,0,25691,824,5,4,0,1,66,20,225,192,225,21,11,1,52,12,87,54,37,11,12,12,2,646,646,13,1013,25,6,45,40,30,649
St. Etienne,59,40,0,29,11,498,178,439,771,165,370,56,279,50,97,675,406,455,461,13981,17237,95,629,2216,308,2045,302,134,52,199,47,7,409,1,24776,827,5,5,0,0,59,13,224,184,225,18,7,2,41,13,115,76,40,6,9,9,1,734,734,17,1207,22,3,60,51,34,560
Strasbourg,58,43,0,34,9,402,157,418,721,168,310,37,225,42,127,651,407,512,411,13595,16898,114,654,2250,285,1969,235,107,50,168,51,8,404,1,24106,595,7,5,0,2,40,11,157,132,157,11,2,1,48,9,103,65,43,9,9,9,2,698,698,17,1415,12,2,43,22,33,515
Nimes Olympique,57,37,0,23,14,520,179,440,736,172,366,48,267,60,120,724,441,487,500,10145,13630,89,732,2303,359,2273,291,117,47,231,64,10,407,1,21700,733,6,4,1,1,72,17,202,190,202,26,10,2,58,10,123,81,43,12,5,5,1,772,772,15,1049,16,0,40,37,30,676
Rennes,55,34,0,26,8,470,159,388,663,143,325,50,259,31,119,654,397,490,496,13084,16117,86,647,2269,389,2151,267,107,43,206,55,12,379,1,23702,729,10,7,1,2,65,11,191,158,191,47,14,2,52,11,107,69,43,15,5,5,1,731,731,7,1026,17,1,61,46,29,764
Montpellier,53,28,0,21,7,509,171,487,749,194,370,42,284,57,105,758,429,536,481,12438,15831,119,773,2379,305,2271,286,116,46,226,58,7,386,2,23612,694,3,3,0,0,57,25,171,153,171,29,11,3,42,12,107,60,47,10,5,5,1,709,709,22,1373,12,1,58,33,27,565
Nantes,48,28,0,25,3,517,150,430,725,191,381,45,290,62,106,773,480,493,504,12172,15869,110,806,2439,275,2311,270,89,39,249,63,9,396,0,23611,734,8,6,1,1,79,26,182,151,182,23,5,1,48,8,83,55,29,15,8,8,4,785,785,18,1018,9,0,76,42,27,500
Angers,44,27,0,22,5,454,154,420,627,141,331,41,248,55,109,676,400,449,455,11939,15072,69,638,2264,318,2054,277,113,41,179,43,3,447,2,22583,707,10,5,0,5,68,20,166,157,166,19,3,0,49,13,119,86,33,15,5,5,2,823,823,8,935,22,2,51,37,28,558
Reims,39,27,0,24,3,406,137,490,634,148,299,36,238,34,111,760,456,532,469,10625,13986,89,676,2343,318,2189,249,97,31,157,40,8,332,2,21453,643,2,2,0,0,54,14,164,146,164,14,6,1,42,14,111,60,53,12,7,7,0,819,819,15,1038,17,3,79,27,18,587
Monaco,38,25,0,21,4,467,159,382,748,180,322,41,245,52,86,685,422,528,510,12966,16118,107,635,2197,284,2082,280,111,35,187,48,3,352,2,23659,738,5,4,0,1,57,13,195,164,195,25,8,1,57,8,93,57,35,5,8,8,3,799,799,13,901,11,2,55,40,19,563
Toulouse,35,16,0,11,5,434,133,381,629,140,312,40,243,52,126,668,417,558,479,11902,15295,80,751,2332,366,2214,265,101,30,169,32,5,444,1,23113,723,11,7,0,4,50,10,158,144,159,19,6,2,57,9,122,72,51,20,6,6,1,872,872,18,1015,12,2,69,41,18,698
Bordeaux,34,25,0,22,3,427,138,390,659,137,330,30,268,37,114,720,447,545,503,13562,16893,82,685,2386,342,2216,215,78,30,212,60,4,426,0,24515,604,6,5,0,1,46,10,168,153,168,22,5,0,42,10,114,68,45,6,7,7,1,906,906,11,1057,13,1,60,24,17,655
Amiens SC,31,22,0,17,5,388,117,393,584,128,285,29,217,44,140,629,384,521,522,11032,14539,75,743,2196,248,2118,199,74,27,190,44,4,405,2,21829,546,3,2,0,1,65,19,137,118,138,19,6,1,52,11,116,71,46,4,9,9,2,813,813,6,979,16,1,65,27,17,477
Dijon,31,20,0,16,4,453,144,479,607,157,328,33,255,53,120,675,409,573,448,11999,15337,90,730,2274,341,2156,236,85,27,219,61,4,376,1,22753,637,4,3,0,1,50,12,167,135,167,25,6,0,60,6,113,70,50,16,3,3,0,767,767,13,1208,9,3,59,29,20,592
Nice,30,19,0,16,3,441,131,457,495,125,331,42,254,55,108,663,419,425,527,17038,19818,61,541,2254,501,2196,245,82,25,198,51,5,413,1,27531,728,9,5,0,4,37,13,172,145,172,31,9,1,35,16,122,77,47,4,6,6,3,733,733,15,1048,13,0,40,42,16,922
