,league,year,position,team,matches,wins,draws,loses,scored,missed,pts,xG,xG_diff,npxG,xGA,xGA_diff,npxGA,npxGD,ppda_coef,oppda_coef,deep,deep_allowed,xpts,xpts_diff
72,Bundesliga,2018,1,Bayern Munich,34,24,6,4,88,32,78,92.24085700000002,4.2408570000000205,89.20990700000002,27.412343699999997,-4.587656299999999,22.865761100000004,66.3441459,8.642572553455787,30.236540574321232,435,89,82.00300000000001,4.003000000000013
73,Bundesliga,2018,2,Borussia Dortmund,34,23,7,4,81,44,76,64.99440200000001,-16.005597999999992,61.963292,42.875457,-1.1245430000000027,39.08664099999999,22.876651000000006,14.560877751347856,15.57433156498908,268,159,62.854000000000006,-13.145999999999995
74,Bundesliga,2018,3,RasenBallsport Leipzig,34,19,9,6,63,29,66,68.24640599999998,5.246405999999978,62.94214399999998,39.653422000000006,10.653422000000006,35.10698800000001,27.835156,10.663369039353787,10.54746878770609,245,160,63.056700000000006,-2.9432999999999936
75,Bundesliga,2018,4,Bayer Leverkusen,34,18,4,12,69,52,58,61.48967199999999,-7.510328000000008,57.70110540000001,45.71042799999999,-6.289572000000009,41.163764999999984,16.5373404,10.264005618192169,15.042458978643568,288,165,57.402,-0.5980000000000061
76,Bundesliga,2018,5,Borussia M.Gladbach,34,16,7,11,55,42,55,54.92618900000001,-0.07381099999999208,49.519472,52.86834499999999,10.86834499999999,50.595009000000005,-1.0755369999999995,16.613169983090767,18.875893984673272,237,227,51.3782,-3.6218
77,Bundesliga,2018,6,Wolfsburg,34,16,7,11,62,50,55,49.49094099999999,-12.509059000000008,45.702556,49.835679000000006,-0.16432099999999394,45.194779,0.5077769999999999,10.774149849533998,13.034452582184933,181,182,47.03530000000001,-7.9646999999999935
78,Bundesliga,2018,7,Eintracht Frankfurt,34,15,9,10,60,48,54,61.84249300000001,1.842493000000012,58.81138000000001,51.017874,3.0178739999999986,50.260094,8.551286,11.38740030275643,10.680012207908398,178,217,54.37570000000001,0.3757000000000089
79,Bundesliga,2018,8,Werder Bremen,34,14,11,9,58,49,53,49.360429,-8.639571000000004,46.32931,56.70904,7.709040000000003,52.920239,-6.590929000000001,11.856144790011268,15.16784381961853,233,206,44.36279999999999,-8.637200000000009
80,Bundesliga,2018,9,Hoffenheim,34,13,12,9,70,52,51,79.95464399999999,9.954644000000002,74.65037199999999,53.288005000000005,1.2880049999999983,47.983984,26.666387999999994,9.062837225379194,13.833265466365473,308,239,62.95599999999999,11.955999999999989
81,Bundesliga,2018,10,Fortuna Duesseldorf,34,13,5,16,49,65,44,49.474933,0.4749330000000001,44.170747,63.06352,-1.9364799999999958,57.759085,-13.588337999999993,17.284161963000386,10.344535979810232,163,223,39.2058,-4.7941999999999965
82,Bundesliga,2018,11,Hertha Berlin,34,11,10,13,49,57,43,50.520192,1.5201919999999944,47.48907999999999,61.58314800000001,4.5831480000000075,57.036979,-9.547898999999996,12.126609539600524,12.111640071398453,194,252,41.9502,-1.0497999999999976
83,Bundesliga,2018,12,Mainz 05,34,12,7,15,46,57,43,49.21424500000001,3.2142450000000053,46.941165000000005,62.80341099999998,5.803410999999982,59.772790999999984,-12.831625999999998,14.183304967594413,10.580645158882351,211,244,39.3397,-3.6603
84,Bundesliga,2018,13,Freiburg,34,8,12,14,46,61,36,41.225196000000004,-4.774804000000003,36.584205,61.42939199999999,0.4293919999999858,56.12494499999998,-19.54074,14.873624937246413,11.06321229552573,141,249,35.6689,-0.3310999999999993
85,Bundesliga,2018,14,Schalke 04,34,8,9,17,37,55,33,46.618307,9.618306999999994,39.79839799999999,51.93916300000001,-3.0608369999999923,47.39266300000001,-7.594264999999999,11.942048325079872,8.96341887316962,168,184,44.15759999999999,11.157599999999988
86,Bundesliga,2018,15,Augsburg,34,8,8,18,51,71,32,47.44357700000001,-3.5564229999999952,43.65493400000001,63.79156999999999,-7.208430000000009,62.17374,-18.518806,11.918817082532462,11.325131883623335,182,266,37.0815,5.081499999999998
87,Bundesliga,2018,16,VfB Stuttgart,34,7,7,20,32,70,28,37.3775347,5.377534699999997,36.6197567,62.69824799999999,-7.3017520000000085,60.424928,-23.805171299999994,14.468857258758288,10.838292902221317,153,260,31.9873,3.987300000000001
88,Bundesliga,2018,17,Hannover 96,34,5,6,23,31,71,21,34.808797,3.8087969999999984,32.535470000000004,73.12036599999998,2.12036599999999,67.81601500000001,-35.28054500000001,18.07376549161944,9.462546960460609,157,309,25.2055,4.205499999999997
89,Bundesliga,2018,18,Nuernberg,34,3,10,21,26,68,19,35.37174299999999,9.371742999999988,30.825158,54.801146,-13.198854000000004,51.77004600000001,-20.944887999999988,20.304274836579374,11.318299423630195,148,259,35.1158,16.1158
170,EPL,2018,1,Manchester City,38,32,2,4,95,23,98,93.720559,-1.2794409999999914,90.67588,25.732604100000003,2.7326041,22.687925100000005,67.98795489999998,8.526163727355268,30.46811259810453,582,135,90.6406,-7.359400000000008
171,EPL,2018,2,Liverpool,38,30,7,1,89,22,97,79.45754000000002,-9.542459999999991,74.12935999999999,29.145105000000004,7.1451050000000045,28.38393600000001,45.74542399999999,10.959870865746092,22.161375690580364,431,152,83.45409999999998,-13.545900000000017
172,EPL,2018,3,Chelsea,38,21,9,8,63,39,72,63.968004,0.9680040000000004,60.162158,38.10768700000001,-0.8923129999999944,36.447257,23.714901,10.650182661297576,15.995166726004904,376,188,71.45100000000001,-0.5490000000000066
173,EPL,2018,4,Tottenham,38,23,2,13,67,39,71,61.746657000000006,-5.253342999999994,58.70202,49.14606800000002,10.146068000000014,45.34022,13.361800000000002,9.90848208787457,17.680093699619132,270,202,61.43999999999999,-9.56000000000001
174,EPL,2018,5,Arsenal,38,21,7,10,73,51,70,64.79537200000001,-8.204627999999985,60.98952099999999,57.2974875,6.297487500000003,51.969339500000004,9.020181500000003,10.080325377078493,13.944289085235267,400,253,58.9713,-11.0287
175,EPL,2018,6,Manchester United,38,19,9,10,65,54,66,68.61749799999998,3.617497999999984,59.37586199999999,52.30019000000002,-1.6998099999999778,47.733182000000006,11.64268,11.073851102868893,14.433334468656629,313,268,61.85960000000002,-4.140399999999978
176,EPL,2018,7,Wolverhampton Wanderers,38,16,9,13,47,46,57,53.05869160000001,6.058691600000009,50.01401560000002,42.691294,-3.3087060000000013,39.646622,10.367393600000002,15.863031190347195,12.292937802483705,184,220,59.9145,2.9144999999999968
177,EPL,2018,8,Everton,38,15,9,14,54,46,54,53.86613399999999,-0.1338660000000118,49.92234399999998,49.30978990000001,3.3097899000000126,45.396306900000006,4.526037099999998,10.259641140308236,10.972068436971488,211,210,55.5378,1.5378000000000045
178,EPL,2018,9,West Ham,38,15,7,16,52,55,52,47.96052790000002,-4.039472099999976,44.15483690000002,65.66202299999999,10.66202299999999,61.856183,-17.701346099999995,13.315241395849931,10.406222991286182,261,293,43.7194,-8.2806
179,EPL,2018,10,Leicester,38,15,7,16,51,48,52,52.11415300000001,1.1141530000000088,46.78597900000001,44.642585,-3.357415000000003,40.836749,5.949230000000003,12.790205225969682,11.480872856407974,205,253,56.23779999999999,4.237799999999994
