,league,year,position,team,matches,wins,draws,loses,scored,missed,pts,xG,xG_diff,npxG,xGA,xGA_diff,npxGA,npxGD,ppda_coef,oppda_coef,deep,deep_allowed,xpts,xpts_diff,Team,G,A,SA,AOP,ASP,S,SOG,INT,CR,ACR,CC,BCC,CCOP,CCSP,BLK,TKL,TKLW,FC,FS,P,AP,ACRO,AW,BR,DR,DW,IBS,IBSOG,IBG,OBS,OBSOG,OBG,DSP,OWN,TOUCH,TBOX,PK,PKG,PKM,PKSVD,FKCR,FKACR,CRN,CRNCR,CRNW,FKS,FKSOG,FKG,GC,CS,SV,IBSV,OBSV,AKS,PKC,PKF,PKSV,CL,ECL,PUNCH,ALB,ATB,LMT,TOFF,BCM,BCS,ATTDR
0,Bundesliga,2018,1,Bayern Munich,34,24,6,4,88,32,78,92.24085700000002,4.2408570000000205,89.20990700000002,27.412343699999997,-4.587656299999999,22.865761100000004,66.3441459,8.642572553455787,30.236540574321232,435,89,82.00300000000001,4.003000000000013,Bayern Munich,88,62,0,51,11,637,257,336,777,201,474,109,340,71,61,464,294,312,346,19414,22197,97,534,2177,425,1753,435,197,75,204,62,13,317,1,28537,1327,4,3,1,0,54,14,287,239,288,28,9,0,32,12,48,28,24,11,6,6,0,344,344,3,1292,31,1,88,80,52,681
1,Bundesliga,2018,2,Borussia Dortmund,34,23,7,4,81,44,76,64.99440200000001,-16.005597999999992,61.963292,42.875457,-1.1245430000000027,39.08664099999999,22.876651000000006,14.560877751347856,15.57433156498908,268,159,62.854000000000006,-13.145999999999995,Borussia Dortmund,81,60,0,55,5,448,184,385,458,114,340,79,234,42,79,497,319,292,389,17828,20721,57,475,2005,440,1783,301,133,70,148,52,11,381,0,27343,899,4,4,0,0,50,16,168,132,170,17,10,3,44,10,90,60,30,3,5,5,0,628,628,13,981,36,1,64,51,51,737
4,Bundesliga,2018,3,RasenBallsport Leipzig,34,19,9,6,63,29,66,68.24640599999998,5.246405999999978,62.94214399999998,39.653422000000006,10.653422000000006,35.10698800000001,27.835156,10.663369039353787,10.54746878770609,245,160,63.056700000000006,-2.9432999999999936,RasenBallsport Leipzig,63,41,0,37,4,497,182,420,616,156,384,78,288,53,70,653,400,465,400,11421,15153,87,765,2234,315,2106,345,134,58,152,48,5,394,1,22306,881,7,5,1,1,55,8,190,160,191,18,9,2,29,16,95,72,23,17,6,6,0,668,668,6,864,29,3,87,63,38,554
2,Bundesliga,2018,4,Bayer Leverkusen,34,18,4,12,69,52,58,61.48967199999999,-7.510328000000008,57.70110540000001,45.71042799999999,-6.289572000000009,41.163764999999984,16.5373404,10.264005618192169,15.042458978643568,288,165,57.402,-0.5980000000000061,Bayer Leverkusen,75,55,0,49,6,535,206,364,642,157,394,71,305,34,99,598,377,370,400,18250,21543,104,574,2317,339,1885,342,143,66,195,65,9,405,3,28564,946,5,4,0,1,38,4,190,174,190,25,8,2,53,9,92,64,32,15,6,6,2,642,642,9,1197,23,0,66,44,44,574
8,Bundesliga,2018,5,Borussia M.Gladbach,34,16,7,11,55,42,55,54.92618900000001,-0.07381099999999208,49.519472,52.86834499999999,10.86834499999999,50.595009000000005,-1.0755369999999995,16.613169983090767,18.875893984673272,237,227,51.3782,-3.6218,Borussia M.Gladbach,55,42,0,36,6,459,159,310,565,140,346,59,258,46,102,500,294,332,365,14845,17600,79,447,1937,279,1565,286,115,47,175,46,8,304,0,23707,761,7,4,1,2,39,7,189,160,190,16,4,0,42,13,115,87,27,3,3,3,0,588,588,4,1067,19,2,70,50,30,484
5,Bundesliga,2018,6,Wolfsburg,34,16,7,11,62,50,55,49.49094099999999,-12.509059000000008,45.702556,49.835679000000006,-0.16432099999999394,45.194779,0.5077769999999999,10.774149849533998,13.034452582184933,181,182,47.03530000000001,-7.9646999999999935,Wolfsburg,62,38,0,29,9,425,167,430,681,176,314,54,226,48,95,540,345,358,445,12164,15473,122,638,2081,252,1839,269,122,57,159,48,5,331,0,22202,692,5,5,0,0,46,13,175,134,175,15,5,0,50,9,110,59,51,5,6,6,1,739,739,17,1449,16,4,67,38,37,431
6,Bundesliga,2018,7,Eintracht Frankfurt,34,15,9,10,60,48,54,61.84249300000001,1.842493000000012,58.81138000000001,51.017874,3.0178739999999986,50.260094,8.551286,11.38740030275643,10.680012207908398,178,217,54.37570000000001,0.3757000000000089,Eintracht Frankfurt,61,42,0,36,6,426,155,380,686,155,310,78,210,55,103,612,376,432,353,9861,13531,97,846,2398,301,2092,296,122,56,130,33,5,369,2,20551,769,4,4,0,0,59,16,183,133,183,11,4,1,54,9,127,85,46,13,1,1,0,669,669,14,1094,20,1,84,56,45,542
7,Bundesliga,2018,8,Werder Bremen,34,14,11,9,58,49,53,49.360429,-8.639571000000004,46.32931,56.70904,7.709040000000003,52.920239,-6.590929000000001,11.856144790011268,15.16784381961853,233,206,44.36279999999999,-8.637200000000009,Werder Bremen,58,38,0,36,2,470,178,407,676,164,352,44,274,39,109,552,344,437,350,13366,16719,110,612,2066,210,1710,300,125,47,171,54,11,327,0,23387,757,4,4,0,0,55,12,168,157,168,11,3,2,49,5,108,71,39,5,5,5,0,773,773,14,1086,14,2,40,37,30,405
3,Bundesliga,2018,9,Hoffenheim,34,13,12,9,70,52,51,79.95464399999999,9.954644000000002,74.65037199999999,53.288005000000005,1.2880049999999983,47.983984,26.666387999999994,9.062837225379194,13.833265466365473,308,239,62.95599999999999,11.955999999999989,Hoffenheim,70,49,0,43,6,612,225,400,666,179,469,88,364,56,104,574,365,471,355,13450,16404,115,541,2112,352,1795,391,158,62,222,68,8,361,1,23289,1015,7,6,1,0,30,11,182,160,182,15,5,1,52,5,123,80,44,7,7,7,0,603,603,8,952,17,3,66,77,42,591
10,Bundesliga,2018,10,Fortuna Duesseldorf,34,13,5,16,49,65,44,49.474933,0.4749330000000001,44.170747,63.06352,-1.9364799999999958,57.759085,-13.588337999999993,17.284161963000386,10.344535979810232,163,223,39.2058,-4.7941999999999965,Fortuna Duesseldorf,50,36,0,32,4,432,164,427,563,158,317,55,230,51,112,635,388,443,424,10732,13794,90,656,2019,238,1919,265,118,43,168,47,7,264,0,20303,625,7,5,2,0,42,17,148,132,150,17,4,1,66,5,117,66,54,4,8,8,0,751,751,25,1228,18,2,50,44,31,449
