Team,CR,CCOP,CCSP,P,DR,IBS,OBS,CRN,INT,BLK,TKL,FC,AW,BR,DW,AKS,CL,LMT,poss
Bayern Munich,22.85294117647059,10.0,2.088235294117647,571.0,12.5,12.794117647058822,6.0,8.441176470588236,9.882352941176473,1.7941176470588236,13.647058823529413,9.176470588235292,15.705882352941178,64.02941176470588,51.558823529411775,0.3235294117647059,10.117647058823527,0.029411764705882356,0.622
Borussia Dortmund,13.470588235294118,6.882352941176472,1.2352941176470589,524.3529411764706,12.941176470588234,8.852941176470589,4.352941176470588,4.941176470588236,11.323529411764708,2.323529411764706,14.617647058823529,8.588235294117647,13.970588235294118,58.970588235294116,52.441176470588225,0.08823529411764706,18.47058823529412,0.029411764705882356,0.568
RasenBallsport Leipzig,18.11764705882353,8.470588235294116,1.5588235294117647,335.9117647058824,9.264705882352944,10.147058823529411,4.470588235294118,5.588235294117646,12.352941176470587,2.0588235294117645,19.205882352941178,13.676470588235292,22.5,65.70588235294117,61.941176470588225,0.5,19.647058823529417,0.08823529411764706,0.495
Bayer Leverkusen,18.88235294117647,8.970588235294116,1.0,536.7647058823529,9.970588235294116,10.058823529411764,5.735294117647059,5.588235294117646,10.705882352941176,2.9117647058823533,17.588235294117652,10.882352941176471,16.88235294117647,68.14705882352939,55.441176470588225,0.4411764705882353,18.88235294117647,0.0,0.5770000000000001
Borussia M.Gladbach,16.61764705882353,7.588235294117648,1.3529411764705883,436.6176470588235,8.205882352941176,8.411764705882353,5.147058823529412,5.5588235294117645,9.117647058823527,3.0,14.705882352941178,9.764705882352944,13.147058823529413,56.970588235294116,46.029411764705884,0.08823529411764706,17.294117647058822,0.05882352941176471,0.523
Wolfsburg,20.029411764705888,6.647058823529411,1.4117647058823528,357.7647058823529,7.411764705882352,7.911764705882352,4.676470588235294,5.147058823529412,12.647058823529413,2.794117647058824,15.882352941176471,10.529411764705884,18.764705882352946,61.20588235294117,54.08823529411765,0.14705882352941174,21.735294117647058,0.1176470588235294,0.525
Eintracht Frankfurt,20.176470588235293,6.1764705882352935,1.6176470588235294,290.0294117647058,8.852941176470589,8.705882352941176,3.8235294117647056,5.382352941176472,11.176470588235292,3.0294117647058822,18.0,12.705882352941178,24.882352941176467,70.52941176470588,61.529411764705884,0.38235294117647056,19.676470588235293,0.029411764705882356,0.476
Werder Bremen,19.88235294117647,8.058823529411764,1.1470588235294117,393.1176470588235,6.1764705882352935,8.823529411764708,5.029411764705882,4.941176470588236,11.970588235294118,3.2058823529411766,16.235294117647058,12.852941176470587,18.0,60.764705882352935,50.29411764705882,0.14705882352941174,22.735294117647058,0.05882352941176471,0.512
Hoffenheim,19.58823529411765,10.705882352941176,1.6470588235294117,395.5882352941177,10.352941176470589,11.5,6.529411764705883,5.352941176470588,11.764705882352944,3.0588235294117645,16.88235294117647,13.852941176470587,15.911764705882351,62.11764705882353,52.79411764705882,0.2058823529411765,17.735294117647058,0.08823529411764706,0.528
Fortuna Duesseldorf,16.558823529411768,6.764705882352941,1.5,315.64705882352933,7.0,7.794117647058822,4.941176470588236,4.352941176470588,12.558823529411766,3.294117647058824,18.676470588235293,13.029411764705882,19.294117647058822,59.38235294117647,56.441176470588225,0.1176470588235294,22.088235294117645,0.05882352941176471,0.444
Hertha Berlin,16.294117647058822,6.735294117647059,1.3823529411764706,338.73529411764713,8.882352941176471,8.117647058823529,3.794117647058824,4.294117647058823,11.235294117647056,3.4411764705882355,15.794117647058822,13.147058823529413,20.97058823529412,58.558823529411775,56.058823529411775,0.2352941176470588,22.470588235294123,0.0,0.486
Mainz 05,19.0,8.529411764705884,1.2647058823529411,309.79411764705884,9.323529411764708,8.441176470588236,6.235294117647059,4.411764705882354,11.676470588235292,3.647058823529412,15.529411764705882,12.647058823529413,19.647058823529417,61.70588235294117,54.764705882352935,0.2058823529411765,19.88235294117647,0.029411764705882356,0.469
Freiburg,16.058823529411768,7.0,1.1764705882352942,318.3235294117647,7.117647058823528,7.029411764705883,5.8235294117647065,4.5588235294117645,11.0,3.6764705882352944,17.205882352941178,12.5,17.441176470588232,56.264705882352935,53.38235294117647,0.2647058823529412,25.323529411764714,0.0,0.454
Schalke 04,15.882352941176471,6.470588235294117,2.235294117647059,304.79411764705884,10.882352941176471,7.911764705882352,4.794117647058823,4.764705882352942,12.647058823529413,3.5294117647058822,19.294117647058822,13.470588235294118,18.294117647058822,63.529411764705884,59.970588235294116,0.2058823529411765,18.735294117647054,0.029411764705882356,0.469
Augsburg,18.0,7.529411764705883,1.4117647058823528,308.11764705882354,6.235294117647059,8.470588235294116,5.147058823529412,4.294117647058823,14.294117647058822,4.0,17.735294117647058,13.647058823529413,20.176470588235293,63.58823529411765,53.79411764705882,0.2058823529411765,21.529411764705888,0.08823529411764706,0.468
VfB Stuttgart,21.38235294117647,6.911764705882352,1.2647058823529411,302.0588235294117,6.970588235294117,7.205882352941178,4.794117647058823,5.0,11.705882352941178,3.4117647058823533,16.911764705882348,10.970588235294118,21.852941176470583,57.941176470588225,56.911764705882355,0.4117647058823529,24.705882352941174,0.17647058823529413,0.468
Hannover 96,15.323529411764708,6.382352941176472,1.2941176470588236,308.3235294117647,8.088235294117647,6.794117647058822,4.529411764705882,4.205882352941177,13.5,3.647058823529412,17.176470588235293,12.411764705882351,18.58823529411765,60.058823529411775,55.764705882352935,0.2647058823529412,22.411764705882355,0.0,0.474
Nuernberg,14.558823529411766,5.264705882352942,1.4117647058823528,286.64705882352933,7.294117647058822,5.6764705882352935,4.941176470588236,4.441176470588236,10.411764705882351,3.5,16.205882352941178,11.558823529411766,19.029411764705888,55.70588235294117,52.970588235294116,0.2058823529411765,23.294117647058826,0.029411764705882356,0.441
Manchester City,20.63157894736842,10.526315789473683,1.1578947368421053,622.4736842105264,11.421052631578947,11.81578947368421,6.2631578947368425,7.842105263157895,9.526315789473683,1.6578947368421053,13.68421052631579,8.631578947368421,14.36842105263158,58.47368421052632,47.23684210526316,0.42105263157894735,14.289473684210524,0.0,0.64
Liverpool,18.973684210526315,8.473684210526315,1.1842105263157894,525.3684210526316,9.263157894736842,10.026315789473683,5.184210526315789,6.552631578947367,8.263157894736842,2.0526315789473686,16.07894736842105,8.289473684210527,15.947368421052632,62.5,50.026315789473685,0.4736842105263158,16.789473684210527,0.05263157894736842,0.588
Chelsea,18.210526315789476,10.236842105263158,1.0789473684210529,577.8421052631579,11.76315789473684,9.973684210526317,6.052631578947367,5.657894736842105,9.289473684210526,1.9210526315789476,16.289473684210527,8.921052631578947,14.0,62.44736842105264,52.97368421052632,0.21052631578947367,15.578947368421053,0.05263157894736842,0.599
Tottenham,16.92105263157895,7.86842105263158,1.2105263157894737,466.2105263157895,9.657894736842103,8.605263157894736,5.552631578947367,5.105263157894737,8.578947368421053,2.9473684210526314,16.57894736842105,9.894736842105264,16.05263157894737,62.23684210526316,51.57894736842106,0.5,20.263157894736842,0.07894736842105263,0.5670000000000001
Arsenal,15.921052631578947,7.473684210526316,0.7105263157894737,456.0789473684209,7.921052631578947,8.315789473684209,4.078947368421051,5.5,10.842105263157897,3.1052631578947367,16.026315789473685,10.842105263157897,14.86842105263158,60.42105263157895,50.55263157894736,0.3947368421052632,20.07894736842105,0.05263157894736842,0.561
Manchester United,16.789473684210527,8.105263157894736,0.8684210526315791,415.68421052631584,8.421052631578947,8.184210526315791,5.657894736842105,5.2631578947368425,9.342105263157897,3.3684210526315788,15.31578947368421,11.394736842105265,18.34210526315789,58.26315789473684,52.26315789473684,0.13157894736842105,20.605263157894736,0.05263157894736842,0.5329999999999999
