Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
1,Fri,8/17/18,20:15 (14:15),Girona,1,0–0,0.1,Valladolid,10368,Estadi Municipal de Montilivi,Guillermo Cuadra,Match Report,
1,Fri,8/17/18,22:15 (16:15),Betis,1.2,0–3,1.8,Levante,46225,Estadio Benito Villamarín,Ignacio Iglesias,Match Report,
1,Sat,8/18/18,18:15 (12:15),Celta Vigo,0.7,1–1,0.9,Espanyol,16215,Estadio de Balaídos,Santiago Jaime,Match Report,
1,Sat,8/18/18,20:15 (14:15),Villarreal,0.9,1–2,0.6,Real Sociedad,16250,Estadio de la Cerámica,Mario Melero,Match Report,
1,Sat,8/18/18,22:15 (16:15),Barcelona,3,3–0,0.3,Alavés,52356,Camp Nou,José Sánchez,Match Report,
1,Sun,8/19/18,18:15 (12:15),Eibar,1.3,1–2,1.1,Huesca,4234,Estadio Municipal de Ipurúa,Eduardo Prieto,Match Report,
1,Sun,8/19/18,20:15 (14:15),Rayo Vallecano,1.8,1–4,2,Sevilla,11626,Estadio del Rayo Vallecano,Antonio Matéu Lahoz,Match Report,
1,Sun,8/19/18,22:15 (16:15),Real Madrid,0.6,2–0,0.2,Getafe,48446,Estadio Santiago Bernabéu,Javier Estrada,Match Report,
1,Mon,8/20/18,20:00 (14:00),Valencia,1,1–1,1,Atlético Madrid,46174,Estadio de Mestalla,Jesús Gil,Match Report,
1,Mon,8/20/18,22:00 (16:00),Athletic Bilbao,1.5,2–1,1.5,Leganés,38327,Estadio San Mamés,Adrián Cordero,Match Report,
,,,,,,,,,,,,,
2,Fri,8/24/18,20:15 (14:15),Getafe,1.3,2–0,0.6,Eibar,7851,Coliseum Alfonso Pérez,David Medié,Match Report,
2,Fri,8/24/18,22:15 (16:15),Leganés,2,2–2,1.8,Real Sociedad,9375,Estadio Municipal de Butarque,José Luis Munuera,Match Report,
2,Sat,8/25/18,18:15 (12:15),Alavés,0.7,0–0,1.3,Betis,18221,Estadio de Mendizorroza,Pablo González,Match Report,
2,Sat,8/25/18,20:15 (14:15),Atlético Madrid,0.6,1–0,1.8,Rayo Vallecano,52693,Estadio Vicente Calderón,José González,Match Report,
2,Sat,8/25/18,22:15 (16:15),Valladolid,0.3,0–1,0.9,Barcelona,22651,Estadio Municipal José Zorrilla,Ricardo de Burgos,Match Report,
2,Sun,8/26/18,18:15 (12:15),Espanyol,1.6,2–0,1.5,Valencia,18714,RCDE Stadium,Carlos del Cerro,Match Report,
2,Sun,8/26/18,22:15 (16:15),Sevilla,1.6,0–0,1,Villarreal,35831,Estadio Ramón Sánchez Pizjuán,Alberto Undiano,Match Report,
2,Sun,8/26/18,22:15 (16:15),Girona,0.8,1–4,3.1,Real Madrid,13889,Estadi Municipal de Montilivi,Juan Martínez,Match Report,
2,Mon,8/27/18,20:15 (14:15),Levante,1.9,1–2,3.2,Celta Vigo,21122,Estadio Ciudad de Valencia,Alejandro Hernández,Match Report,
2,Mon,8/27/18,22:00 (16:00),Athletic Bilbao,0.6,2–2,0.4,Huesca,36818,San Mamés,Alberola Rojas,Match Report,
,,,,,,,,,,,,,
3,Fri,8/31/18,20:00 (14:00),Getafe,1,0–0,0.6,Valladolid,9817,Coliseum Alfonso Pérez,Adrián Cordero,Match Report,
3,Fri,8/31/18,22:00 (16:00),Eibar,1.1,2–1,1.1,Real Sociedad,6144,Estadio Municipal de Ipurúa,José Sánchez,Match Report,
3,Fri,8/31/18,22:00 (16:00),Villarreal,1.1,0–1,0.8,Girona,15740,Estadio de la Cerámica,Eduardo Prieto,Match Report,
3,Sat,9/1/18,18:30 (12:30),Celta Vigo,0.8,2–0,0.5,Atlético Madrid,19013,Estadio de Balaídos,Antonio Matéu Lahoz,Match Report,
3,Sat,9/1/18,20:45 (14:45),Real Madrid,2.1,4–1,1.1,Leganés,59255,Estadio Santiago Bernabéu,Santiago Jaime,Match Report,
3,Sun,9/2/18,12:00 (06:00),Levante,1.4,2–2,3.6,Valencia,24073,Estadio Ciudad de Valencia,Javier Estrada,Match Report,
3,Sun,9/2/18,16:15 (10:15),Alavés,1.2,2–1,1.5,Espanyol,18052,Estadio de Mendizorroza,Ignacio Iglesias,Match Report,
3,Sun,9/2/18,18:30 (12:30),Barcelona,4.7,8–2,1.2,Huesca,72892,Camp Nou,Mario Melero,Match Report,
3,Sun,9/2/18,20:45 (14:45),Betis,0.7,1–0,0.4,Sevilla,53451,Estadio Benito Villamarín,Jesús Gil,Match Report,
,,,,,,,,,,,,,
4,Fri,9/14/18,21:00 (15:00),Huesca,1.5,0–1,1,Rayo Vallecano,6498,Estadio El Alcoraz,David Medié,Match Report,
