Wk,Day,Date,Home,xG,Score,xG,Away,Attendance,Venue,Referee
1,Fri,8/10/18,Marseille,2.6,4–0,0.3,Toulouse,60756,Orange Vélodrome,Ruddy Buquet
1,Sat,8/11/18,Nantes,1.7,1–3,2.2,Monaco,32760,Stade de la Beaujoire - Louis Fonteneau,Jérôme Brisard
1,Sat,8/11/18,Montpellier,2,1–2,1.9,Dijon,12765,Stade de la Mosson,Florent Batta
1,Sat,8/11/18,Angers,2.5,3–4,1.9,Nîmes,9534,Stade Raymond Kopa,Antony Gautier
1,Sat,8/11/18,Saint-Étienne,1,2–1,2,Guingamp,26006,Stade Geoffroy-Guichard,Amaury Delerue
1,Sat,8/11/18,Nice,1.4,0–1,0.6,Reims,21421,Stade de Nice,Johan Hamel
1,Sat,8/11/18,Lille,1.5,3–1,0.5,Rennes,25708,Stade Pierre-Mauroy,Willy Delajod
1,Sun,8/12/18,Lyon,1,2–0,0.5,Amiens,48263,Groupama Stadium,Franck Schneider
1,Sun,8/12/18,Bordeaux,0.2,0–2,1.6,Strasbourg,23079,Stade Matmut-Atlantique,Hakim Ben El Hadj Salem
1,Sun,8/12/18,Paris S-G,2.6,3–0,0.2,Caen,47289,Parc des Princes,Benoît Bastien
,,,,,,,,,,
2,Fri,8/17/18,Reims,0.6,1–0,2,Lyon,18917,Stade Auguste-Delaune II,Ruddy Buquet
2,Sat,8/18/18,Guingamp,1.2,1–3,2.4,Paris S-G,19003,Stade du Roudourou,Clément Turpin
2,Sat,8/18/18,Dijon,3.2,2–0,0.2,Nantes,13617,Stade Gaston Gérard,Jeremy Stinat
2,Sat,8/18/18,Rennes,0.5,1–0,0.5,Angers,19300,Roazhon Park,Olivier Thual
2,Sat,8/18/18,Caen,1.3,1–1,0.8,Nice,16132,Stade Michel d'Ornano,Eric Wattellier
2,Sat,8/18/18,Amiens,1.2,1–2,0.3,Montpellier,10402,Stade de la Licorne,Karim Abed
2,Sat,8/18/18,Monaco,1.4,0–0,0.6,Lille,11140,Stade Louis II.,Thomas Léonard
2,Sun,8/19/18,Strasbourg,0.9,1–1,0.6,Saint-Étienne,25385,Stade de la Meinau,Benoît Millot
2,Sun,8/19/18,Toulouse,1.9,2–1,1.5,Bordeaux,15387,Stadium Municipal,François Letexier
2,Sun,8/19/18,Nîmes,1.7,3–1,1,Marseille,15285,Stade des Costières,Benoît Bastien
,,,,,,,,,,
3,Fri,8/24/18,Lyon,1.5,2–0,0.6,Strasbourg,47341,Groupama Stadium,Amaury Delerue
3,Sat,8/25/18,Paris S-G,1.8,3–1,1.7,Angers,47105,Parc des Princes,Jérôme Miguelgorry
3,Sat,8/25/18,Nantes,1.4,1–1,0.4,Caen,19674,Stade de la Beaujoire - Louis Fonteneau,Hakim Ben El Hadj Salem
3,Sat,8/25/18,Amiens,1.5,4–1,0.8,Reims,10709,Stade de la Licorne,Florent Batta
3,Sat,8/25/18,Nice,1.8,0–4,1.5,Dijon,17923,Stade de Nice,Willy Delajod
3,Sat,8/25/18,Montpellier,0.8,0–0,0.3,Saint-Étienne,14777,Stade de la Mosson,Jérôme Brisard
3,Sat,8/25/18,Toulouse,2.4,1–0,0.5,Nîmes,11746,Stadium Municipal,Franck Schneider
3,Sun,8/26/18,Lille,1.7,3–0,0.7,Guingamp,27230,Stade Pierre-Mauroy,Johan Hamel
3,Sun,8/26/18,Bordeaux,2.5,2–1,0.7,Monaco,21607,Stade Matmut-Atlantique,Clément Turpin
3,Sun,8/26/18,Marseille,1.4,2–2,2.4,Rennes,53471,Orange Vélodrome,Antony Gautier
,,,,,,,,,,
4,Fri,8/31/18,Lyon,2,0–1,0.5,Nice,53438,Groupama Stadium,François Letexier
4,Sat,9/1/18,Nîmes,1.5,2–4,2.4,Paris S-G,15311,Stade des Costières,Jérôme Brisard
4,Sat,9/1/18,Angers,1.1,1–0,1.4,Lille,9245,Stade Raymond Kopa,Eric Wattellier
4,Sat,9/1/18,Strasbourg,1.6,2–3,1,Nantes,25091,Stade de la Meinau,Olivier Thual
4,Sat,9/1/18,Guingamp,2.2,1–2,1.1,Toulouse,12327,Stade du Roudourou,Karim Abed
4,Sat,9/1/18,Dijon,1.2,0–2,1.6,Caen,13382,Stade Gaston Gérard,Nicolas Rainville
4,Sat,9/1/18,Reims,2.1,0–1,0.5,Montpellier,12042,Stade Auguste-Delaune II,Jeremy Stinat
4,Sun,9/2/18,Saint-Étienne,0.7,0–0,0.3,Amiens,30146,Stade Geoffroy-Guichard,Thomas Léonard
4,Sun,9/2/18,Rennes,1.9,2–0,0.5,Bordeaux,23817,Roazhon Park,Benoît Bastien
4,Sun,9/2/18,Monaco,1.6,2–3,1.4,Marseille,14269,Stade Louis II.,Benoît Millot
,,,,,,,,,,
5,Fri,9/14/18,Nice,1.2,2–1,1.1,Rennes,16887,Stade de Nice,Jérôme Miguelgorry
5,Fri,9/14/18,Paris S-G,2.4,4–0,0.7,Saint-Étienne,46549,Parc des Princes,Franck Schneider
5,Sat,9/15/18,Caen,1.8,2–2,1.1,Lyon,17676,Stade Michel d'Ornano,Johan Hamel
5,Sat,9/15/18,Dijon,1.4,1–3,1.9,Angers,12275,Stade Gaston Gérard,Hakim Ben El Hadj Salem
5,Sat,9/15/18,Montpellier,0.4,1–1,0.5,Strasbourg,10630,Stade de la Mosson,Willy Delajod
5,Sat,9/15/18,Toulouse,1.2,1–1,0.6,Monaco,16689,Stadium Municipal,Ruddy Buquet
5,Sat,9/15/18,Amiens,1.4,2–3,2.8,Lille,11569,Stade de la Licorne,Nicolas Rainville
5,Sun,9/16/18,Nantes,0.9,0–0,0.7,Reims,18981,Stade de la Beaujoire - Louis Fonteneau,Eric Wattellier
5,Sun,9/16/18,Bordeaux,1.3,3–3,1.6,Nîmes,15895,Stade Matmut-Atlantique,Antony Gautier
5,Sun,9/16/18,Marseille,1.9,4–0,0.1,Guingamp,50450,Orange Vélodrome,Amaury Delerue
,,,,,,,,,,
6,Fri,9/21/18,Monaco,1.7,1–1,0.8,Nîmes,6837,Stade Louis II.,Amaury Delerue
6,Sat,9/22/18,Lille,0.6,2–1,1.6,Nantes,27353,Stade Pierre-Mauroy,Benoît Bastien
6,Sat,9/22/18,Saint-Étienne,3.1,2–1,0.6,Caen,23895,Stade Geoffroy-Guichard,Ruddy Buquet
6,Sat,9/22/18,Montpellier,1.9,1–0,0.6,Nice,11015,Stade de la Mosson,Thomas Léonard
6,Sat,9/22/18,Angers,0.7,0–0,0.4,Toulouse,10021,Stade Raymond Kopa,Florent Batta
