Team,G,A,SA,AOP,ASP,S,SOG,INT,CR,ACR,CC,BCC,CCOP,CCSP,BLK,TKL,TKLW,FC,FS,P,AP,ACRO,AW,BR,DR,DW,IBS,IBSOG,IBG,OBS,OBSOG,OBG,DSP,OWN,TOUCH,TBOX,PK,PKG,PKM,PKSVD,FKCR,FKACR,CRN,CRNCR,CRNW,FKS,FKSOG,FKG,GC,CS,SV,IBSV,OBSV,AKS,PKC,PKF,PKSV,CL,ECL,PUNCH,ALB,ATB,LMT,TOFF,BCM,BCS,ATTDR
Atalanta,77,59,0,48,11,641,222,456,801,204,509,83,389,57,95,638,396,445,506,17045,20282,119,639,2467,362,2131,433,169,68,210,55,9,462,3,28126,1173,4,2,1,1,28,6,242,231,244,16,4,0,46,9,92,60,31,10,5,5,0,632,632,16,1102,21,0,71,56,50,652
Napoli,74,54,0,49,5,705,235,360,775,166,563,76,476,32,107,576,360,410,418,20097,23021,113,406,2364,336,1711,391,153,56,315,83,18,323,0,29976,965,4,3,1,0,19,4,255,188,256,23,9,4,36,14,101,66,38,6,4,4,0,590,590,10,1269,29,2,85,58,34,574
Juventus,70,44,0,34,10,610,200,398,871,215,476,59,367,63,130,572,355,471,477,17323,20092,146,557,2166,370,1945,366,138,65,248,66,5,324,1,27208,956,8,7,0,1,48,20,244,177,244,27,6,1,30,16,84,49,35,6,4,4,1,601,601,12,1438,12,0,75,41,43,628
Roma,66,42,0,35,7,622,218,414,855,241,488,65,378,67,154,536,343,461,401,14161,17192,147,751,2222,352,2011,407,154,58,216,65,8,351,1,24532,985,6,6,0,0,57,14,228,180,228,15,6,2,48,10,118,69,49,10,7,7,1,760,760,6,1198,24,0,50,52,38,626
Sampdoria,60,41,0,35,6,487,179,366,638,139,340,54,269,29,122,647,425,493,522,16167,19436,91,494,2289,277,1904,263,122,53,224,57,7,462,1,26619,761,12,10,0,2,52,14,168,139,168,20,5,2,51,13,99,62,39,20,8,8,1,756,756,13,928,16,1,70,41,35,470
Inter Milan,57,36,0,27,9,634,200,308,1091,277,496,70,404,53,104,615,407,468,497,18337,21268,198,539,2222,286,1907,391,142,51,243,58,6,309,3,28656,1052,9,8,0,1,53,13,301,225,302,10,0,0,33,17,98,63,35,7,5,5,0,577,577,1,1244,18,0,64,62,33,514
Lazio,56,35,0,28,7,612,192,430,740,183,480,66,391,51,136,656,404,502,397,14812,18003,114,635,2360,343,2000,372,141,46,242,53,10,334,3,25363,1004,6,6,0,0,41,12,226,191,228,22,2,1,46,10,106,64,42,9,6,6,1,732,732,21,1112,25,1,97,59,27,610
AC Milan,55,34,0,32,2,586,198,373,751,169,451,52,376,39,109,642,383,445,482,16471,19244,122,507,2166,341,1943,311,122,44,279,80,11,416,1,26713,793,4,3,0,1,46,9,230,159,230,19,5,2,36,12,110,67,39,7,5,5,1,772,772,23,1140,14,1,63,43,28,542
Sassuolo,53,33,0,24,9,513,157,377,660,136,379,54,304,40,110,528,327,528,533,15425,18373,75,483,2127,358,1878,265,105,43,251,55,10,386,2,25562,705,5,5,0,0,40,9,185,177,185,21,6,0,60,12,112,81,32,9,8,8,3,779,779,15,968,15,3,73,42,29,631
Torino,52,31,0,23,8,519,181,448,752,197,379,38,304,43,117,635,394,617,576,11959,15307,142,854,2455,337,2367,301,122,39,220,61,13,453,0,23189,788,6,5,1,0,57,19,182,99,184,26,3,0,37,15,109,73,37,9,5,5,2,763,763,11,1195,12,1,75,37,18,583
Empoli,51,36,0,29,7,457,154,333,636,120,334,56,263,33,133,552,327,458,447,13619,16705,76,445,2167,327,1750,303,122,49,157,35,2,369,2,23704,906,7,4,2,1,25,4,187,149,189,17,1,0,70,5,166,105,64,11,8,8,1,742,742,20,1074,19,4,77,40,34,550
Bologna,48,35,0,24,11,500,165,376,735,157,353,47,268,49,142,689,429,516,524,10978,14081,101,773,2188,272,2229,293,119,43,210,49,5,361,1,21739,754,5,5,0,0,51,9,207,151,208,25,7,2,56,10,119,69,52,9,4,4,0,805,805,18,1035,6,1,83,37,29,542
Fiorentina,47,24,0,22,2,585,179,412,780,177,443,51,357,59,130,594,370,562,513,12286,15503,108,658,2236,303,2044,345,129,39,242,52,8,375,3,23154,881,6,5,0,1,53,10,236,187,238,15,4,2,45,9,107,56,51,8,6,6,1,830,830,19,1004,18,0,48,49,27,588
SPAL,44,30,0,19,11,462,138,385,864,226,349,32,267,52,136,583,374,499,558,13222,16029,156,597,2061,274,1976,282,101,38,180,37,6,398,0,23348,653,8,7,1,0,53,22,196,164,196,15,4,1,56,10,120,72,50,5,5,5,0,800,800,11,938,1,2,37,31,22,493
Parma,41,23,0,17,6,355,111,398,512,100,245,44,185,36,183,579,351,493,438,9102,12232,53,584,2083,279,1853,207,82,38,149,30,3,376,5,19324,539,5,4,0,1,47,7,144,127,145,19,4,2,61,10,149,103,53,1,8,8,0,1023,1023,8,1091,11,1,91,32,32,520
Genoa,39,26,0,22,4,532,152,427,794,173,387,40,295,66,114,670,423,559,485,10258,13670,107,776,2243,286,2192,298,115,35,236,39,4,328,2,20947,780,5,4,0,1,58,14,186,161,187,24,1,0,57,7,117,73,44,5,6,6,1,802,802,21,1026,13,1,65,32,21,498
Udinese,39,29,0,23,6,463,130,380,585,145,343,39,278,35,161,653,387,505,477,10680,13702,98,724,2111,331,2147,231,80,31,234,52,8,372,1,21183,639,8,3,1,4,35,10,164,122,168,12,3,0,53,9,133,83,50,1,9,9,0,969,969,36,1074,14,0,66,35,21,559
Cagliari,36,26,0,19,7,436,127,345,794,205,321,38,235,59,125,602,386,573,457,13443,17014,129,872,2228,177,2081,269,95,34,168,33,2,368,2,24195,683,3,2,1,0,50,14,190,173,190,13,5,1,54,7,155,108,46,7,10,10,2,780,780,13,1240,12,2,58,34,21,343
Frosinone,29,21,0,14,7,455,126,384,815,195,319,35,258,40,150,572,354,560,541,10502,13736,147,655,2220,212,1941,263,86,24,193,41,5,351,1,20984,547,5,4,0,1,52,10,160,134,161,24,5,0,69,9,149,91,55,4,5,5,0,845,845,8,971,4,2,73,31,16,425
Chievo,25,17,0,15,2,391,117,473,677,152,290,41,235,37,132,620,369,587,482,11615,14887,107,729,2181,197,1990,210,78,22,181,39,3,356,2,21951,530,6,4,0,2,35,11,131,102,133,14,3,1,75,7,141,85,55,1,4,4,2,916,916,13,1201,4,2,78,42,14,361
