Wk,Day,Date,Home,xG,Score,xG,Away,Attendance,Venue,Referee
1,Sat,8/18/18,Chievo,1,2–3,2.1,Juventus,29500,Stadio Marc'Antonio Bentegodi,Fabrizio Pasqua
1,Sat,8/18/18,Lazio,1.1,1–2,1.5,Napoli,32000,Stadio Olimpico,Luca Banti
1,Sun,8/19/18,Torino,0.8,0–1,1.3,Roma,18000,Stadio Olimpico di Torino,Marco Di Bello
1,Sun,8/19/18,Empoli,0.9,2–0,0.9,Cagliari,7335,Stadio Carlo Castellani,Daniele Chiffi
1,Sun,8/19/18,Bologna,0.8,0–1,0.7,SPAL,21158,Stadio Renato Dall'Ara,Piero Giacomelli
1,Sun,8/19/18,Parma,1.5,2–2,2,Udinese,13141,Stadio Ennio Tardini,Giampaolo Calvarese
1,Sun,8/19/18,Sassuolo,1.5,1–0,1.3,Inter,19104,Stadio Città del Tricolore,Maurizio Mariani
1,Mon,8/20/18,Atalanta,2.2,4–0,0.5,Frosinone,18217,Stadio Atleti Azzurri d'Italia,Marco Piccinini
,,,,,,,,,,
2,Sat,8/25/18,Juventus,2.2,2–0,0.3,Lazio,40171,Allianz Stadium,Massimiliano Irrati
2,Sat,8/25/18,Napoli,2.2,3–2,0.8,Milan,34474,Stadio San Paolo,Paolo Valeri
2,Sun,8/26/18,SPAL,1.1,1–0,0.5,Parma,6000,Stadio Paolo Mazza,Daniele Orsato
2,Sun,8/26/18,Inter,1.3,2–2,1.5,Torino,59135,Stadio Giuseppe Meazza,Paolo Mazzoleni
2,Sun,8/26/18,Frosinone,1.3,0–0,1.1,Bologna,,Stadio Benito Stirpe,Gianluca Manganiello
2,Sun,8/26/18,Cagliari,1.9,2–2,1.9,Sassuolo,14432,Sardegna Arena,Luca Pairetto
2,Sun,8/26/18,Udinese,1.6,1–0,0.8,Sampdoria,15770,Dacia Arena,Federico La Penna
2,Sun,8/26/18,Fiorentina,2.8,6–1,1.2,Chievo,27790,Stadio Artemio Franchi,Rosario Abisso
2,Sun,8/26/18,Genoa,1,2–1,2.1,Empoli,19523,Stadio Comunale Luigi Ferraris,Livio Marinelli
2,Mon,8/27/18,Roma,2.1,3–3,2.5,Atalanta,41725,Stadio Olimpico,Michael Fabbri
,,,,,,,,,,
3,Fri,8/31/18,Milan,1.5,2–1,0.4,Roma,57789,Stadio Giuseppe Meazza,Marco Guida
3,Sat,9/1/18,Bologna,0.4,0–3,1.9,Inter,26082,Stadio Renato Dall'Ara,Marco Di Bello
3,Sat,9/1/18,Parma,1.5,1–2,2,Juventus,20814,Stadio Ennio Tardini,Daniele Doveri
3,Sun,9/2/18,Fiorentina,0.8,1–0,0.3,Udinese,31009,Stadio Artemio Franchi,Antonio Giua
3,Sun,9/2/18,Lazio,2.2,1–0,0.5,Frosinone,34465,Stadio Olimpico,Giampaolo Calvarese
3,Sun,9/2/18,Atalanta,0.5,0–1,0.4,Cagliari,17709,Stadio Atleti Azzurri d'Italia,Fabio Maresca
3,Sun,9/2/18,Chievo,0.9,0–0,1.1,Empoli,8100,Stadio Marc'Antonio Bentegodi,Piero Giacomelli
3,Sun,9/2/18,Sampdoria,0.7,3–0,1.7,Napoli,19835,Stadio Comunale Luigi Ferraris,Davide Massa
3,Sun,9/2/18,Sassuolo,1.4,5–3,1.6,Genoa,9740,Stadio Città del Tricolore,Gianluca Rocchi
3,Sun,9/2/18,Torino,1,1–0,1,SPAL,17785,Stadio Olimpico di Torino,Fabrizio Pasqua
,,,,,,,,,,
4,Sat,9/15/18,Inter,1.6,0–1,0.5,Parma,59648,Stadio Giuseppe Meazza,Gianluca Manganiello
4,Sat,9/15/18,Napoli,1.5,1–0,0.4,Fiorentina,20131,Stadio San Paolo,Michael Fabbri
4,Sat,9/15/18,Frosinone,0.6,0–5,2.7,Sampdoria,12502,Stadio Benito Stirpe,Massimiliano Irrati
4,Sun,9/16/18,Roma,2.6,2–2,1.1,Chievo,39849,Stadio Olimpico,Paolo Mazzoleni
4,Sun,9/16/18,Udinese,0.4,1–1,0.9,Torino,18813,Dacia Arena,Paolo Valeri
4,Sun,9/16/18,Juventus,2.5,2–1,0.8,Sassuolo,40563,Allianz Stadium,Daniele Chiffi
4,Sun,9/16/18,Genoa,0.6,1–0,0.8,Bologna,20032,Stadio Comunale Luigi Ferraris,Luca Banti
4,Sun,9/16/18,Empoli,1.4,0–1,2.1,Lazio,10832,Stadio Carlo Castellani,Daniele Orsato
4,Sun,9/16/18,Cagliari,0.5,1–1,1.4,Milan,16201,Sardegna Arena,Rosario Abisso
4,Mon,9/17/18,SPAL,1.5,2–0,0.9,Atalanta,14153,Stadio Paolo Mazza,Maurizio Mariani
,,,,,,,,,,
1,Wed,9/19/18,Sampdoria,0.7,1–1,1.4,Fiorentina,18334,Stadio Comunale Luigi Ferraris,Fabio Maresca
,,,,,,,,,,
5,Fri,9/21/18,Sassuolo,1.6,3–1,1.6,Empoli,10183,Stadio Città del Tricolore,Federico La Penna
5,Sat,9/22/18,Parma,1.9,2–0,1.2,Cagliari,14852,Stadio Ennio Tardini,Giampaolo Calvarese
5,Sat,9/22/18,Fiorentina,1.5,3–0,0.6,SPAL,30068,Stadio Artemio Franchi,Davide Ghersini
5,Sat,9/22/18,Sampdoria,0.6,0–1,0.8,Inter,22835,Stadio Comunale Luigi Ferraris,Marco Guida
5,Sun,9/23/18,Torino,1.4,1–3,1.9,Napoli,22655,Stadio Olimpico di Torino,Massimiliano Irrati
5,Sun,9/23/18,Lazio,2.4,4–1,0.9,Genoa,30000,Stadio Olimpico,Rosario Abisso
5,Sun,9/23/18,Bologna,1.7,2–0,2.8,Roma,20067,Stadio Renato Dall'Ara,Davide Massa
5,Sun,9/23/18,Chievo,1.5,0–2,1.5,Udinese,10000,Stadio Marc'Antonio Bentegodi,Luca Pairetto
5,Sun,9/23/18,Milan,2,2–2,2.1,Atalanta,51684,Stadio Giuseppe Meazza,Daniele Doveri
5,Sun,9/23/18,Frosinone,0.1,0–2,2.1,Juventus,16000,Stadio Benito Stirpe,Piero Giacomelli
,,,,,,,,,,
6,Tue,9/25/18,Inter,2.2,2–1,1.2,Fiorentina,55840,Stadio Giuseppe Meazza,Paolo Mazzoleni
6,Wed,9/26/18,Udinese,0.6,1–2,1,Lazio,19455,Dacia Arena,Fabio Maresca
6,Wed,9/26/18,Juventus,1.1,2–0,0.5,Bologna,38472,Allianz Stadium,Maurizio Mariani
6,Wed,9/26/18,Atalanta,0.9,0–0,0.2,Torino,18144,Stadio Atleti Azzurri d'Italia,Daniele Orsato
6,Wed,9/26/18,Genoa,1.5,2–0,1.2,Chievo,18969,Stadio Comunale Luigi Ferraris,Fabrizio Pasqua
6,Wed,9/26/18,Cagliari,0.8,0–0,2.6,Sampdoria,14038,Sardegna Arena,Gianluca Rocchi
6,Wed,9/26/18,Roma,2.7,4–0,1,Frosinone,34380,Stadio Olimpico,Marco Di Bello
6,Wed,9/26/18,Napoli,3.2,3–0,0.1,Parma,29354,Stadio San Paolo,Daniele Doveri
6,Thu,9/27/18,SPAL,1.4,0–2,2.2,Sassuolo,13945,Stadio Paolo Mazza,Eugenio Abbattista
6,Thu,9/27/18,Empoli,1.4,1–1,1.8,Milan,13890,Stadio Carlo Castellani,Michael Fabbri
,,,,,,,,,,
7,Sat,9/29/18,Roma,1.4,3–1,1,Lazio,47600,Stadio Olimpico,Gianluca Rocchi
7,Sat,9/29/18,Juventus,2.3,3–1,1.6,Napoli,39252,Allianz Stadium,Luca Banti
7,Sat,9/29/18,Inter,1.2,2–0,0.1,Cagliari,55486,Stadio Giuseppe Meazza,Davide Massa
7,Sun,9/30/18,Bologna,1.3,2–1,0.7,Udinese,19039,Stadio Renato Dall'Ara,Gianluca Manganiello
7,Sun,9/30/18,Frosinone,1.5,1–2,1.4,Genoa,12384,Stadio Benito Stirpe,Juan Sacchi
7,Sun,9/30/18,Fiorentina,1.1,2–0,0.8,Atalanta,30535,Stadio Artemio Franchi,Paolo Valeri
7,Sun,9/30/18,Chievo,0.5,0–1,2.3,Torino,10500,Stadio Marc'Antonio Bentegodi,Marco Guida
7,Sun,9/30/18,Parma,0.8,1–0,1.3,Empoli,14584,Stadio Ennio Tardini,Luca Pairetto
7,Sun,9/30/18,Sassuolo,0.9,1–4,1.4,Milan,16795,Stadio Città del Tricolore,Piero Giacomelli
7,Mon,10/1/18,Sampdoria,1.2,2–1,1.2,SPAL,17885,Stadio Comunale Luigi Ferraris,Federico La Penna
,,,,,,,,,,
8,Fri,10/5/18,Torino,2.5,3–2,1.8,Frosinone,16554,Stadio Olimpico di Torino,Ivan Pezzuto
8,Sat,10/6/18,Cagliari,1.5,2–0,0.4,Bologna,15019,Sardegna Arena,Fabrizio Pasqua
8,Sat,10/6/18,Udinese,0.8,0–2,2.3,Juventus,25000,Dacia Arena,Rosario Abisso
8,Sat,10/6/18,Empoli,1.6,0–2,0.9,Roma,10670,Stadio Carlo Castellani,Paolo Mazzoleni
8,Sun,10/7/18,Genoa,1.6,1–3,1.2,Parma,20511,Stadio Comunale Luigi Ferraris,Daniele Chiffi
8,Sun,10/7/18,Milan,2.1,3–1,0.5,Chievo,48088,Stadio Giuseppe Meazza,Giampaolo Calvarese
8,Sun,10/7/18,Atalanta,1.7,0–1,0.6,Sampdoria,19164,Stadio Atleti Azzurri d'Italia,Massimiliano Irrati
8,Sun,10/7/18,Lazio,1.1,1–0,1.3,Fiorentina,30000,Stadio Olimpico,Daniele Orsato
8,Sun,10/7/18,Napoli,2,2–0,0.8,Sassuolo,29647,Stadio San Paolo,Marco Di Bello
8,Sun,10/7/18,SPAL,2.8,1–2,1.3,Inter,15750,Stadio Paolo Mazza,Fabio Maresca
,,,,,,,,,,
9,Sat,10/20/18,Roma,2.1,0–2,1.7,SPAL,39838,Stadio Olimpico,Luca Pairetto
9,Sat,10/20/18,Juventus,2,1–1,0.6,Genoa,37735,Allianz Stadium,Federico La Penna
9,Sat,10/20/18,Udinese,0.9,0–3,1.9,Napoli,21449,Dacia Arena,Maurizio Mariani
9,Sun,10/21/18,Frosinone,1.1,3–3,1.5,Empoli,12287,Stadio Benito Stirpe,Daniele Orsato
9,Sun,10/21/18,Parma,0.2,0–2,2.2,Lazio,18969,Stadio Ennio Tardini,Michael Fabbri
9,Sun,10/21/18,Bologna,1.3,2–2,0.9,Torino,23245,Stadio Renato Dall'Ara,Luca Banti
9,Sun,10/21/18,Chievo,0.9,1–5,2,Atalanta,12000,Stadio Marc'Antonio Bentegodi,Gianluca Rocchi
9,Sun,10/21/18,Fiorentina,1.4,1–1,0.8,Cagliari,31567,Stadio Artemio Franchi,Piero Giacomelli
9,Sun,10/21/18,Inter,1.6,1–0,0.7,Milan,78275,Stadio Giuseppe Meazza,Marco Guida
9,Mon,10/22/18,Sampdoria,0.7,0–0,0.3,Sassuolo,19064,Stadio Comunale Luigi Ferraris,Francesco Fourneau
,,,,,,,,,,
10,Sat,10/27/18,Atalanta,2.1,3–0,1.1,Parma,18152,Stadio Atleti Azzurri d'Italia,Rosario Abisso
10,Sat,10/27/18,Empoli,0.6,1–2,1.8,Juventus,15889,Stadio Carlo Castellani,Giampaolo Calvarese
10,Sat,10/27/18,Torino,0.9,1–1,1.2,Fiorentina,17871,Stadio Olimpico di Torino,Michael Fabbri
10,Sun,10/28/18,Sassuolo,1.8,2–2,1.4,Bologna,12647,Stadio Città del Tricolore,Daniele Doveri
10,Sun,10/28/18,Genoa,1.7,2–2,0.8,Udinese,18880,Stadio Comunale Luigi Ferraris,Paolo Mazzoleni
10,Sun,10/28/18,SPAL,0.6,0–3,0.7,Frosinone,13676,Stadio Paolo Mazza,Daniele Chiffi
