,xg_home,xg_away,xg_total,xga_home,xga_away,xga_total,xg_dif
Manchester Utd,31.400000000000002,28.099999999999998,59.5,20.3,28.000000000000004,48.3,11.2
Newcastle Utd,22.1,16.700000000000003,38.8,23.699999999999996,29.7,53.4,-14.6
Huddersfield,15.899999999999999,14.2,30.1,30.099999999999998,32.199999999999996,62.3,-32.2
Fulham,22.700000000000003,16.7,39.4,27.7,37.8,65.5,-26.1
Watford,23.1,24.799999999999997,47.9,27.5,27.6,55.1,-7.2
Bournemouth,28.600000000000005,25.099999999999998,53.7,24.2,30.6,54.8,-1.1
Wolves,29.2,20.3,49.5,17.5,21.3,38.8,10.7
Southampton,22.8,22.4,45.2,25.000000000000004,30.0,55.0,-9.8
Liverpool,41.6,31.399999999999995,73.0,13.7,16.4,30.1,42.9
Arsenal,32.7,23.7,56.4,24.3,31.4,55.7,0.7
Cardiff City,22.599999999999998,16.8,39.4,25.799999999999997,36.1,61.9,-22.5
West Ham,26.4,22.400000000000002,48.8,25.1,36.300000000000004,61.4,-12.6
Everton,26.9,20.6,47.5,21.499999999999996,23.000000000000004,44.5,3.0
Leicester City,25.199999999999996,23.7,48.9,18.7,23.5,42.2,6.7
Tottenham,30.9,23.8,54.7,23.0,22.599999999999998,45.6,9.1
Chelsea,29.599999999999998,28.4,58.0,14.4,20.2,34.6,23.4
Burnley,24.1,17.700000000000003,41.8,27.8,35.20000000000001,63.0,-21.2
Manchester City,47.0,34.7,81.7,14.2,10.899999999999999,25.1,56.6
Brighton,20.8,14.1,34.9,22.599999999999998,32.300000000000004,54.9,-20.0
Crystal Palace,27.800000000000004,22.900000000000002,50.7,21.399999999999995,26.300000000000004,47.7,3.0
Marseille,27.7,22.0,49.7,18.0,26.9,44.9,4.8
Nantes,30.3,17.1,47.4,19.5,27.2,46.7,0.7
Montpellier,25.899999999999995,18.599999999999998,44.5,18.5,23.8,42.3,2.2
Angers,26.900000000000002,20.700000000000003,47.6,19.9,26.6,46.5,1.1
Saint-Étienne,31.7,23.8,55.5,23.8,26.200000000000003,50.0,5.5
Nice,27.1,15.200000000000001,42.3,21.0,27.299999999999997,48.3,-6.0
Lille,28.300000000000004,28.400000000000002,56.7,18.900000000000002,24.1,43.0,13.7
Lyon,37.8,34.0,71.8,17.400000000000002,25.099999999999998,42.5,29.3
Bordeaux,22.900000000000002,15.799999999999999,38.7,25.000000000000004,25.700000000000003,50.7,-12.0
Paris S-G,51.49999999999999,39.6,91.1,14.8,21.3,36.1,55.0
Reims,19.1,20.900000000000002,40.0,20.0,24.300000000000004,44.3,-4.3
Guingamp,20.399999999999995,19.900000000000002,40.3,21.8,26.7,48.5,-8.2
Dijon,22.6,16.599999999999998,39.2,27.799999999999997,32.0,59.8,-20.6
Rennes,29.2,23.899999999999995,53.1,19.400000000000002,28.3,47.7,5.4
Caen,18.400000000000002,13.0,31.4,27.3,29.7,57.0,-25.6
Amiens,21.700000000000003,12.999999999999998,34.7,21.999999999999996,23.6,45.6,-10.9
Monaco,23.599999999999998,25.1,48.7,21.9,26.2,48.1,0.6
Strasbourg,21.9,19.499999999999996,41.4,23.399999999999995,26.3,49.7,-8.3
Toulouse,27.900000000000002,16.0,43.9,27.4,30.2,57.6,-13.7
Nîmes,23.599999999999998,23.0,46.6,18.3,37.0,55.3,-8.7
Bayern Munich,38.900000000000006,40.099999999999994,79.0,10.700000000000001,15.6,26.3,52.7
Werder Bremen,26.8,22.5,49.3,24.4,29.6,54.0,-4.7
Freiburg,24.0,17.500000000000004,41.5,23.900000000000002,30.6,54.5,-13.0
Wolfsburg,25.5,19.6,45.1,22.0,24.299999999999997,46.3,-1.2
Hertha BSC,26.2,21.1,47.3,26.3,31.9,58.2,-10.9
Düsseldorf,23.699999999999996,21.6,45.3,25.4,32.8,58.2,-12.9
M'gladbach,29.700000000000003,20.8,50.5,24.8,24.8,49.6,0.9
Mainz 05,29.5,18.3,47.8,24.8,30.3,55.1,-7.3
Dortmund,31.1,25.8,56.9,19.1,20.1,39.2,17.7
Hannover 96,17.599999999999998,15.399999999999999,33.0,30.200000000000003,34.300000000000004,64.5,-31.5
Augsburg,24.900000000000002,18.7,43.6,28.0,27.7,55.7,-12.1
Hoffenheim,40.0,31.200000000000003,71.2,21.7,30.0,51.7,19.5
Bayer,30.9,29.799999999999997,60.7,16.700000000000003,26.1,42.8,17.9
Eint Frankfurt,30.200000000000003,24.2,54.4,21.200000000000003,29.7,50.9,3.5
Nürnberg,18.7,14.7,33.4,21.4,33.0,54.4,-21.0
